"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32589"," Report G000000 ","-------------","-------------","-----------",""
"","Assets","General","Purpose","Endowment","Plant"
"","(Omit cents)","Fund","Fund","Fund","Fund"
"","","1","2","3","4"
"","CURRENT  ASSETS","","","",""
"Entity[32589] Report(G000000)", ,"Entity[32589] Report(G000000[0100])"
"Line(00100)", ,"-2522"
"Line(00400)", ,"52835"
"Line(00800)", ,"5466"
"Line(01100)", ,"55779"
"Line(02300)", ,"20233"
"Line(02400)", ,"1475"
"Line(02700)", ,"18758"
"Line(02900)", ,"3936"
"Line(03100)", ,"100000"
"Line(03200)", ,"103936"
"Line(03300)", ,"178473"
"Line(03400)", ,"49771"
"Line(03500)", ,"30041"
"Line(03600)", ,"13103"
"Line(03700)", ,"50000"
"Line(04200)", ,"142915"
"Line(05100)", ,"-270576"
