"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32672"," Report A000000 ","-------------","-------------","-----------",""
"","","","","","CON-","","","RECLAS-","","MENTS",""
"","","","EMPLOYEE","","TRACTED","","","SIFICATION","","(Increase/",""
"","","SALARIES","BENEFITS","TRANSPOR-","SERVICES","","","(Increase/","","Decrease)",""
"","COST CENTER DESCRIPTIONS","(From","(From","TATION","(From","","TOTAL","Decrease)","","(Fr Wkst A-8","TOTAL"
"","","Wkst A-1)","Wkst A-2)","(See inst.)","Wkst A-3)","OTHER","(col. 1-5)","(Fr Wkst A-6)","SUBTOTAL","& A-8-1)","(col.8�col.9)"
"","","1","2","3","4","5","6","7","8","9","10"
"","GENERAL SERVICE COST CENTERS",""," "," "," ","","","",""," ",""
"Entity[32672] Report(A000000)","Entity[32672] Report(A000000[0000])","Entity[32672] Report(A000000[0100])","Entity[32672] Report(A000000[0200])","Entity[32672] Report(A000000[0300])","Entity[32672] Report(A000000[0400])","Entity[32672] Report(A000000[0500])","Entity[32672] Report(A000000[0600])","Entity[32672] Report(A000000[0700])","Entity[32672] Report(A000000[0800])","Entity[32672] Report(A000000[0900])","Entity[32672] Report(A000000[1000])"
"Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"39040","39040", ,"39040","1075","40115"
"Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"3426","3426", ,"3426","777","4203"
"Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"6564","6564", ,"6564", ,"6564"
"Line(00400)","0400TRANSPORTATION-STAFF"
"Line(00500)","0500VOLUNTEER SERVICE COORDINATION","17451","2562", , , ,"20013", ,"20013", ,"20013"
"Line(00600)","0600ADMINISTRATIVE AND GENERAL","116950","8131","1443","7468","86157","220149", ,"220149","23850","243999"
"Line(01000)","1000INPATIENT- GENERAL CARE"
"Line(01100)","1100INPATIENT- RESPITE CARE"
"Line(01500)","1500PHYSICIAN SERVICES", , , ,"3000", ,"3000", ,"3000", ,"3000"
"Line(01600)","1600NURSING CARE","184726","25702","7757","38063","38821","295069","-5008","290061", ,"290061"
"Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"Line(01700)","1700PHYSICAL THERAPY", , , , , , ,"5008","5008", ,"5008"
"Line(01800)","1800OCCUPATIONAL THERAPY"
"Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"Line(02000)","2000MEDICAL SOCIAL SERVICES","14229","2193","2602", , ,"19024", ,"19024", ,"19024"
"Line(02100)","2100SPIRITUAL COUNSELING","710", , , , ,"710", ,"710", ,"710"
"Line(02200)","2200DIETARY COUNSELING","1031","147", , ,"10","1188", ,"1188", ,"1188"
"Line(02300)","2300COUNSELING-OTHER"
"Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","14613", , , , ,"14613", ,"14613", ,"14613"
"Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"Line(02500)","2500OTHER VISITING SERVICES"
"Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"12435","12435", ,"12435", ,"12435"
"Line(03030)","3030ANALGESICS"
"Line(03031)","3031SEDATIVES/HYPNOTICS"
"Line(03032)","3032OTHER - SPECIFY"
"Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN"
"Line(03200)","3200PATIENT TRANSPORTATION"
"Line(03300)","3300IMAGING SERVICES"
"Line(03400)","3400LABS AND DIAGNOSTICS"
"Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS"
"Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"Line(03700)","3700RADIATION THERAPY"
"Line(03800)","3800CHEMOTHERAPY"
"Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"Line(05000)","5000BEREAVEMENT PROGRAM COSTS","18455","2710", , , ,"21165", ,"21165", ,"21165"
"Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"Line(05200)","5200FUNDRAISING"
"Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
