"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 32675"," Report S100000 ","-------------","-------------","-----------",""
"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1"
"Entity[32675] Report(S100000)", ,"Entity[32675] Report(S100000[0100])","Entity[32675] Report(S100000[0200])","Entity[32675] Report(S100000[0300])","Entity[32675] Report(S100000[0400])","Entity[32675] Report(S100000[0500])","Entity[32675] Report(S100000[0600])"
"Line(00100)", ,"STEWARD HOMECARE HOSPICE","30 PERWAL STREET","WETWOOD","MA","02090"
"Line(00200)", ,"NORFOLK"
"Line(00300)", ,"07/16/2007"
"Line(00400)", ,"10/29/2007","12/04/2008"
"Line(00500)", ,"10/01/2012","12/31/2012"
"Line(00600)", ,"221518"
"Line(00700)", ,"2"
"Line(00900)", ,"3566","128","509","120","141","3835"
"Line(01000)", ,"39", ,"39", , ,"39"
"Line(01100)", ,"2", ,"2", , ,"2"
"Line(01200)", ,"3607","128","550","120","141","3876"
"Line(01300)", ,"105","3","18","2","13","121"
"Line(01500)", ,"34","43","31","60","11","32"
"Line(01600)", ,"56","1","6","1","11","68"
