"Schema: HOSPC TABLE: hospc_2013_DATA","----------"," Entity 33085"," Report A000000 ","-------------","-------------","-----------",""
"","","","","","CON-","","","RECLAS-","","MENTS",""
"","","","EMPLOYEE","","TRACTED","","","SIFICATION","","(Increase/",""
"","","SALARIES","BENEFITS","TRANSPOR-","SERVICES","","","(Increase/","","Decrease)",""
"","COST CENTER DESCRIPTIONS","(From","(From","TATION","(From","","TOTAL","Decrease)","","(Fr Wkst A-8","TOTAL"
"","","Wkst A-1)","Wkst A-2)","(See inst.)","Wkst A-3)","OTHER","(col. 1-5)","(Fr Wkst A-6)","SUBTOTAL","& A-8-1)","(col.8�col.9)"
"","","1","2","3","4","5","6","7","8","9","10"
"","GENERAL SERVICE COST CENTERS",""," "," "," ","","","",""," ",""
"Entity[33085] Report(A000000)","Entity[33085] Report(A000000[0000])","Entity[33085] Report(A000000[0100])","Entity[33085] Report(A000000[0200])","Entity[33085] Report(A000000[0300])", ,"Entity[33085] Report(A000000[0500])","Entity[33085] Report(A000000[0600])", ,"Entity[33085] Report(A000000[0800])", ,"Entity[33085] Report(A000000[1000])"
"Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"3850","3850", ,"3850", ,"3850"
"Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"Line(00300)","0300PLANT OPERATION AND MAINTENANCE"
"Line(00400)","0400TRANSPORTATION-STAFF", , , , ,"2232","2232", ,"2232", ,"2232"
"Line(00500)","0500VOLUNTEER SERVICE COORDINATION"
"Line(00600)","0600ADMINISTRATIVE AND GENERAL","41526","4552", , ,"34919","80997", ,"80997", ,"80997"
"Line(01000)","1000INPATIENT- GENERAL CARE"
"Line(01100)","1100INPATIENT- RESPITE CARE"
"Line(01500)","1500PHYSICIAN SERVICES","607","67", , , ,"674", ,"674", ,"674"
"Line(01600)","1600NURSING CARE","24037","2635","182", , ,"26854", ,"26854", ,"26854"
"Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"Line(01700)","1700PHYSICAL THERAPY"
"Line(01800)","1800OCCUPATIONAL THERAPY"
"Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"Line(02000)","2000MEDICAL SOCIAL SERVICES","958","105", , , ,"1063", ,"1063", ,"1063"
"Line(02100)","2100SPIRITUAL COUNSELING","928","102", , , ,"1030", ,"1030", ,"1030"
"Line(02200)","2200DIETARY COUNSELING"
"Line(02300)","2300COUNSELING-OTHER"
"Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","78","9", , , ,"87", ,"87", ,"87"
"Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"Line(02500)","2500OTHER VISITING SERVICES"
"Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"305","305", ,"305", ,"305"
"Line(03030)","3030ANALGESICS"
"Line(03031)","3031SEDATIVES/HYPNOTICS"
"Line(03032)","3032OTHER - SPECIFY"
"Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN"
"Line(03200)","3200PATIENT TRANSPORTATION"
"Line(03300)","3300IMAGING SERVICES"
"Line(03400)","3400LABS AND DIAGNOSTICS"
"Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS"
"Line(03501)","3501MEDICALSUPPLIES", , , , ,"62","62", ,"62", ,"62"
"Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"Line(03700)","3700RADIATION THERAPY"
"Line(03800)","3800CHEMOTHERAPY"
"Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"Line(05000)","5000BEREAVEMENT PROGRAM COSTS"
"Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"Line(05200)","5200FUNDRAISING"
"Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
