"Entity[33604] Report(A000000)", , , , ,"Entity[33604] Report(A000000[0000])","Entity[33604] Report(A000000[0100])","Entity[33604] Report(A000000[0200])","Entity[33604] Report(A000000[0300])","Entity[33604] Report(A000000[0400])","Entity[33604] Report(A000000[0500])","Entity[33604] Report(A000000[0600])", ,"Entity[33604] Report(A000000[0800])","Entity[33604] Report(A000000[0900])","Entity[33604] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"305426","305426", ,"305426", ,"305426"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"67171","67171", ,"67171", ,"67171"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"205250","205250", ,"205250", ,"205250"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","151366","29927","1969", , ,"183262", ,"183262", ,"183262"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","2992471","591660","41191","322885","958598","4906805", ,"4906805","-20859","4885946"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","761699","155332","893","254702","6303","1178929", ,"1178929","-30","1178899"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"7501", ,"7501", ,"7501", ,"7501"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"18100", ,"18100", ,"18100", ,"18100"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01600)","1600NURSING CARE","3219820","636613","206200","904", ,"4063537", ,"4063537", ,"4063537"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C","2350","465","131","13624", ,"16570", ,"16570", ,"16570"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"4292", ,"4292", ,"4292", ,"4292"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"900", ,"900", ,"900", ,"900"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"5223", ,"5223", ,"5223", ,"5223"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","523776","103559","35341", , ,"662676", ,"662676", ,"662676"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","388566","76826","31957", , ,"497349", ,"497349", ,"497349"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","548774","108502","121271","17356", ,"795903", ,"795903", ,"795903"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , ,"1046586", ,"1046586", ,"1046586", ,"1046586"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"460846", ,"460846", ,"460846", ,"460846"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03030)","3030ANALGESICS", , , ,"169514", ,"169514", ,"169514", ,"169514"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"1630", ,"1630", ,"1630", ,"1630"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"903473", ,"903473", ,"903473", ,"903473"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"115600", ,"115600", ,"115600", ,"115600"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"3500", ,"3500", ,"3500", ,"3500"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"31250", ,"31250", ,"31250", ,"31250"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"20280", ,"20280", ,"20280", ,"20280"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03700)","3700RADIATION THERAPY", , , ,"13500", ,"13500", ,"13500", ,"13500"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"221264", ,"221264", ,"221264", ,"221264"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","198090","40657","2758","140","9200","250845", ,"250845", ,"250845"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , ,"18216", ,"4425","22641", ,"22641", ,"22641"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",33604,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","715686","146727","19475","3084519","221546","4187953", ,"4187953","-3164741","1023212"
"Entity[33604] Report(A100000)", , , , , ,"Entity[33604] Report(A100000[0100])","Entity[33604] Report(A100000[0200])","Entity[33604] Report(A100000[0300])","Entity[33604] Report(A100000[0400])","Entity[33604] Report(A100000[0500])", ,"Entity[33604] Report(A100000[0700])","Entity[33604] Report(A100000[0800])","Entity[33604] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(00500)", , , , , , , , ,"151366","151366"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(00600)", ,"206285","986082", ,"559694", , , ,"1240410","2992471"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(01000)", , , ,"40280","42464","493712", ,"98311","86932","761699"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(01600)", , , , , ,"3219820", , , ,"3219820"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(01620)", , , , , ,"2350", , , ,"2350"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(02000)", , , ,"523776", , , , , ,"523776"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(02100)", , , , , , , , ,"388566","388566"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(02400)", , , , , , , ,"548774", ,"548774"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(05000)", , , , , , , ,"33339","164751","198090"
"HOSPC","hospc_2013_DATA",33604,"A100000","Line(05300)", , ,"257660","26300", ,"79964", ,"100","351662","715686"
"Entity[33604] Report(A200000)", , , , , ,"Entity[33604] Report(A200000[0100])","Entity[33604] Report(A200000[0200])","Entity[33604] Report(A200000[0300])","Entity[33604] Report(A200000[0400])","Entity[33604] Report(A200000[0500])", ,"Entity[33604] Report(A200000[0700])","Entity[33604] Report(A200000[0800])","Entity[33604] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(00500)", , , , , , , , ,"29927","29927"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(00600)", ,"40786","194964", ,"110660", , , ,"245250","591660"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(01000)", , , , , , , , ,"155332","155332"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(01600)", , , , , ,"636613", , , ,"636613"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(01620)", , , , , ,"465", , , ,"465"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(02000)", , , ,"103559", , , , , ,"103559"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(02100)", , , , , , , , ,"76826","76826"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(02400)", , , , , , , ,"108502", ,"108502"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(05000)", , , , , , , , ,"40657","40657"
"HOSPC","hospc_2013_DATA",33604,"A200000","Line(05300)", , , , , , , , ,"146727","146727"
"Entity[33604] Report(A300000)", , , , , , , , , ,"Entity[33604] Report(A300000[0500])","Entity[33604] Report(A300000[0600])","Entity[33604] Report(A300000[0700])","Entity[33604] Report(A300000[0800])","Entity[33604] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(00600)", , , , , , , , ,"322885","322885"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01000)", , , , , , , , ,"254702","254702"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01100)", , , , , , , , ,"7501","7501"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01500)", , , , , , , , ,"18100","18100"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01600)", , , , , ,"904", , , ,"904"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01620)", , , , , ,"13624", , , ,"13624"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01700)", , , , , , ,"4292", , ,"4292"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01800)", , , , , , ,"900", , ,"900"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(01900)", , , , , , ,"5223", , ,"5223"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(02400)", , , , , , , ,"17356", ,"17356"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(02500)", , , , , , , , ,"1046586","1046586"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03000)", , , , , , , , ,"460846","460846"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03030)", , , , , , , , ,"169514","169514"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03031)", , , , , , , , ,"1630","1630"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03100)", , , , , , , , ,"903473","903473"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03200)", , , , , , , , ,"115600","115600"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03300)", , , , , , , , ,"3500","3500"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03400)", , , , , , , , ,"31250","31250"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03600)", , , , , , , , ,"20280","20280"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03700)", , , , , , , , ,"13500","13500"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(03900)", , , , , , , , ,"221264","221264"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(05000)", , , , , , , , ,"140","140"
"HOSPC","hospc_2013_DATA",33604,"A300000","Line(05300)", , , , , , , , ,"3084519","3084519"
"Entity[33604] Report(A700000)", , , , , ,"Entity[33604] Report(A700000[0100])","Entity[33604] Report(A700000[0200])", ,"Entity[33604] Report(A700000[0400])", ,"Entity[33604] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33604,"A700000","Line(00100)", ,"610414", , , , ,"610414"
"HOSPC","hospc_2013_DATA",33604,"A700000","Line(00200)", ,"478174","7570", ,"7570", ,"485744"
"HOSPC","hospc_2013_DATA",33604,"A700000","Line(00300)", ,"6907584","-1610", ,"-1610", ,"6905974"
"HOSPC","hospc_2013_DATA",33604,"A700000","Line(00400)", ,"713852","1150", ,"1150", ,"715002"
"HOSPC","hospc_2013_DATA",33604,"A700000","Line(00600)", ,"5382722","56706", ,"56706", ,"5439428"
"HOSPC","hospc_2013_DATA",33604,"A700000","Line(00700)", ,"14092746","63816", ,"63816", ,"14156562"
"Entity[33604] Report(A800000)", , , , ,"Entity[33604] Report(A800000[0000])","Entity[33604] Report(A800000[0100])","Entity[33604] Report(A800000[0200])","Entity[33604] Report(A800000[0300])","Entity[33604] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33604,"A800000","Line(00800)","NH RM/BD & TAX","A","-3064973","OTHER NONREIMBURSABLE COSTS","53"
"HOSPC","hospc_2013_DATA",33604,"A800000","Line(00801)","ADVERTISING/PRINTING","A","-14311","ADMINISTRATIVE AND GENERAL","6"
