"Entity[33849] Report(A000000)", , , , ,"Entity[33849] Report(A000000[0000])","Entity[33849] Report(A000000[0100])","Entity[33849] Report(A000000[0200])","Entity[33849] Report(A000000[0300])","Entity[33849] Report(A000000[0400])","Entity[33849] Report(A000000[0500])","Entity[33849] Report(A000000[0600])", ,"Entity[33849] Report(A000000[0800])","Entity[33849] Report(A000000[0900])","Entity[33849] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"24060","24060", ,"24060", ,"24060"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","52795","9617", , , ,"62412", ,"62412", ,"62412"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","931600","169707","150781","86614","593997","1932699", ,"1932699","-1135","1931564"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"455118", ,"455118", ,"455118", ,"455118"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"4530", ,"4530", ,"4530", ,"4530"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01500)","1500PHYSICIAN SERVICES","133659","24348", ,"66050", ,"224057", ,"224057", ,"224057"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01600)","1600NURSING CARE","2117198","385683", ,"160", ,"2503041", ,"2503041", ,"2503041"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"1265", ,"1265", ,"1265", ,"1265"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","340226","61978", , , ,"402204", ,"402204", ,"402204"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(02100)","2100SPIRITUAL COUNSELING"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","452771","82480", ,"981", ,"536232", ,"536232", ,"536232"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"393717", ,"393717", ,"393717", ,"393717"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"172864", ,"172864", ,"172864", ,"172864"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03200)","3200PATIENT TRANSPORTATION"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"36677", ,"36677", ,"36677", ,"36677"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"38358", ,"38358", ,"38358", ,"38358"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE","152630","27804", ,"151", ,"180585", ,"180585", ,"180585"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","159126","28987", , , ,"188113", ,"188113", ,"188113"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",33849,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"Entity[33849] Report(A100000)", , , , , , , ,"Entity[33849] Report(A100000[0300])", ,"Entity[33849] Report(A100000[0500])", ,"Entity[33849] Report(A100000[0700])","Entity[33849] Report(A100000[0800])","Entity[33849] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(00500)", , , , , , , , ,"52795","52795"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(00600)", , , , , , , , ,"931600","931600"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(01500)", , , , , , , , ,"133659","133659"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(01600)", , , , , ,"2117198", , , ,"2117198"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(02000)", , , ,"340226", , , , , ,"340226"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(02400)", , , , , , , ,"452771", ,"452771"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(03900)", , , , , , , , ,"152630","152630"
"HOSPC","hospc_2013_DATA",33849,"A100000","Line(05000)", , , , , , , , ,"159126","159126"
"Entity[33849] Report(A200000)", , , , , , , ,"Entity[33849] Report(A200000[0300])", ,"Entity[33849] Report(A200000[0500])", ,"Entity[33849] Report(A200000[0700])","Entity[33849] Report(A200000[0800])","Entity[33849] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(00500)", , , , , , , , ,"9617","9617"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(00600)", , , , , , , , ,"169707","169707"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(01500)", , , , , , , , ,"24348","24348"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(01600)", , , , , ,"385683", , , ,"385683"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(02000)", , , ,"61978", , , , , ,"61978"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(02400)", , , , , , , ,"82480", ,"82480"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(03900)", , , , , , , , ,"27804","27804"
"HOSPC","hospc_2013_DATA",33849,"A200000","Line(05000)", , , , , , , , ,"28987","28987"
"Entity[33849] Report(A300000)", , , , , , , , , ,"Entity[33849] Report(A300000[0500])","Entity[33849] Report(A300000[0600])","Entity[33849] Report(A300000[0700])","Entity[33849] Report(A300000[0800])","Entity[33849] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(00600)", , , , , , , , ,"86614","86614"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(01000)", , , , , , , , ,"455118","455118"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(01100)", , , , , , , , ,"4530","4530"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(01500)", , , , , , , , ,"66050","66050"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(01600)", , , , , ,"160", , , ,"160"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(01700)", , , , , , ,"1265", , ,"1265"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(02400)", , , , , , , ,"981", ,"981"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(03000)", , , , , , , , ,"393717","393717"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(03100)", , , , , , , , ,"172864","172864"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(03500)", , , , , , , , ,"36677","36677"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(03600)", , , , , , , , ,"38358","38358"
"HOSPC","hospc_2013_DATA",33849,"A300000","Line(03900)", , , , , , , , ,"151","151"
"Entity[33849] Report(A700000)", , , , , ,"Entity[33849] Report(A700000[0100])", , , , ,"Entity[33849] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33849,"A700000","Line(00400)", ,"19490", , , , ,"19490"
"HOSPC","hospc_2013_DATA",33849,"A700000","Line(00600)", ,"519876", , , , ,"519876"
"HOSPC","hospc_2013_DATA",33849,"A700000","Line(00700)", ,"539366", , , , ,"539366"
"Entity[33849] Report(A800000)", , , , ,"Entity[33849] Report(A800000[0000])","Entity[33849] Report(A800000[0100])","Entity[33849] Report(A800000[0200])","Entity[33849] Report(A800000[0300])","Entity[33849] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33849,"A800000","Line(00800)","DUES","A","-1135","ADMINISTRATIVE AND GENERAL","6"
