"Entity[33886] Report(A000000)", , , , ,"Entity[33886] Report(A000000[0000])","Entity[33886] Report(A000000[0100])","Entity[33886] Report(A000000[0200])","Entity[33886] Report(A000000[0300])","Entity[33886] Report(A000000[0400])","Entity[33886] Report(A000000[0500])","Entity[33886] Report(A000000[0600])", ,"Entity[33886] Report(A000000[0800])","Entity[33886] Report(A000000[0900])","Entity[33886] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATOR","38814","12326","1624", ,"312","53076", ,"53076", ,"53076"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","201930","64125","4901","514","122930","394400", ,"394400","752867","1147267"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(01600)","1600NURSING CARE","354844","112684","28533", ,"156276","652337", ,"652337","-152998","499339"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(01700)","1700PHYSICAL THERAPY","3422","1087", , , ,"4509", ,"4509", ,"4509"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY","124","40", , , ,"164", ,"164", ,"164"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","51000","16195","2497", ,"624","70316", ,"70316", ,"70316"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","50129","15919","2947", ,"624","69619", ,"69619", ,"69619"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","128492","40804","13634", ,"1020","183950", ,"183950", ,"183950"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(02500)","2500OTHER VISITING SERVICES","777","247","3183", ,"12152","16359", ,"16359", ,"16359"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"118821","118821", ,"118821", ,"118821"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"82085","82085", ,"82085", ,"82085"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"17283","17283", ,"17283", ,"17283"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"73292", ,"73292", ,"73292", ,"73292"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","28108","8926","2197", ,"552","39783", ,"39783", ,"39783"
"HOSPC","hospc_2013_DATA",33886,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"Entity[33886] Report(A100000)", , , , , , , ,"Entity[33886] Report(A100000[0300])", ,"Entity[33886] Report(A100000[0500])","Entity[33886] Report(A100000[0600])","Entity[33886] Report(A100000[0700])","Entity[33886] Report(A100000[0800])","Entity[33886] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(00500)", , , , , , , , ,"38814","38814"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(00600)", , , , , , , , ,"201930","201930"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(01600)", , , , , ,"354844", , , ,"354844"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(01700)", , , , , , ,"3422", , ,"3422"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(01800)", , , , , , ,"124", , ,"124"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(02000)", , , ,"51000", , , , , ,"51000"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(02100)", , , , , , , , ,"50129","50129"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(02400)", , , , , , , ,"128492", ,"128492"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(02500)", , , , , , , , ,"777","777"
"HOSPC","hospc_2013_DATA",33886,"A100000","Line(05000)", , , , , , , , ,"28108","28108"
"Entity[33886] Report(A200000)", , , , , , , ,"Entity[33886] Report(A200000[0300])", ,"Entity[33886] Report(A200000[0500])","Entity[33886] Report(A200000[0600])","Entity[33886] Report(A200000[0700])","Entity[33886] Report(A200000[0800])","Entity[33886] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(00500)", , , , , , , , ,"12326","12326"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(00600)", , , , , , , , ,"64125","64125"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(01600)", , , , , ,"112684", , , ,"112684"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(01700)", , , , , , ,"1087", , ,"1087"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(01800)", , , , , , ,"40", , ,"40"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(02000)", , , ,"16195", , , , , ,"16195"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(02100)", , , , , , , , ,"15919","15919"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(02400)", , , , , , , ,"40804", ,"40804"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(02500)", , , , , , , , ,"247","247"
"HOSPC","hospc_2013_DATA",33886,"A200000","Line(05000)", , , , , , , , ,"8926","8926"
"Entity[33886] Report(A300000)", , , , , , , , , , , , ,"Entity[33886] Report(A300000[0800])","Entity[33886] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33886,"A300000","Line(00600)", , , , , , , , ,"514","514"
"HOSPC","hospc_2013_DATA",33886,"A300000","Line(03900)", , , , , , , , ,"73292","73292"
"Entity[33886] Report(A700000)", , , , , ,"Entity[33886] Report(A700000[0100])","Entity[33886] Report(A700000[0200])", ,"Entity[33886] Report(A700000[0400])", ,"Entity[33886] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33886,"A700000","Line(00300)", ,"263818","7484974", ,"7484974", ,"7748792"
"HOSPC","hospc_2013_DATA",33886,"A700000","Line(00400)", ,"420617","35511", ,"35511", ,"456128"
"HOSPC","hospc_2013_DATA",33886,"A700000","Line(00600)", ,"5618669","684417", ,"684417", ,"6303086"
"HOSPC","hospc_2013_DATA",33886,"A700000","Line(00700)", ,"6303104","8204902", ,"8204902", ,"14508006"
"Entity[33886] Report(A800000)", , , , ,"Entity[33886] Report(A800000[0000])","Entity[33886] Report(A800000[0100])","Entity[33886] Report(A800000[0200])","Entity[33886] Report(A800000[0300])","Entity[33886] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33886,"A800000","Line(00300)", , ,"795200"
"HOSPC","hospc_2013_DATA",33886,"A800000","Line(00800)","MISCELLANEOUS ADJUSTMENTS","B","-152998","NURSING CARE","16"
