"Entity[33886] Report(B000000)", , , , ,"Entity[33886] Report(B000000[0000])", , , , ,"Entity[33886] Report(B000000[0500])","Entity[33886] Report(B000000[0600])","Entity[33886] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(00500)","53076", , , , ,"53076"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(00600)","1147267", , , , ,"26214","1173481"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(01600)","499339", , , , ,"11410","498472","1009221"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(01700)","4509", , , , ,"103","4501","9113"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(01800)","164", , , , ,"4","164","332"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(02000)","70316", , , , ,"1607","70194","142117"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(02100)","69619", , , , ,"1591","69498","140708"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(02400)","183950", , , , ,"4203","183631","371784"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(02500)","16359", , , , ,"374","16331","33064"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(03000)","118821", , , , ,"2715","118615","240151"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(03100)","82085", , , , ,"1876","81943","165904"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(03500)","17283", , , , ,"395","17253","34931"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(03900)","73292", , , , ,"1675","73165","148132"
"HOSPC","hospc_2013_DATA",33886,"B000000","Line(05000)","39783", , , , ,"909","39714","80406"
"Entity[33886] Report(B10000*)", , , , , , ,"Entity[33886] Report(B10000*[0200])", , ,"Entity[33886] Report(B10000*[0500])","Entity[33886] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33886,"B10000*","Line(00100)", , ,"CAPITAL", , ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33886,"B10000*","Line(00200)", , ,"MOVABLE", , ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33886,"B10000*","Line(00300)", , ,"EQUIPMENT", , ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33886,"B10000*","Line(00400)", , ,"SQUARE", , ,"ACCUM.","ACCUM."
"HOSPC","hospc_2013_DATA",33886,"B10000*","Line(00500)", , ,"FEET", , ,"COSTS","COSTS"
"Entity[33886] Report(B100000)", , , , , , ,"Entity[33886] Report(B100000[0200])", , ,"Entity[33886] Report(B100000[0500])","Entity[33886] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(00000)", , , , , ,"X","X"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(00200)", , ,"1497"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(00500)", , , , , ,"2322787"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(00600)", , ,"1497", , ,"1147267","1202382"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(01600)", , , , , ,"499339","510749"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(01700)", , , , , ,"4509","4612"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(01800)", , , , , ,"164","168"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(02000)", , , , , ,"70316","71923"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(02100)", , , , , ,"69619","71210"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(02400)", , , , , ,"183950","188153"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(02500)", , , , , ,"16359","16733"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(03000)", , , , , ,"118821","121536"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(03100)", , , , , ,"82085","83961"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(03500)", , , , , ,"17283","17678"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(03900)", , , , , ,"73292","74967"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(05000)", , , , , ,"39783","40692"
"HOSPC","hospc_2013_DATA",33886,"B100000","Line(10000)", , , , , ,"53076","1173481"
