"Entity[33888] Report(A000000)", , , , ,"Entity[33888] Report(A000000[0000])","Entity[33888] Report(A000000[0100])","Entity[33888] Report(A000000[0200])","Entity[33888] Report(A000000[0300])","Entity[33888] Report(A000000[0400])","Entity[33888] Report(A000000[0500])","Entity[33888] Report(A000000[0600])","Entity[33888] Report(A000000[0700])","Entity[33888] Report(A000000[0800])","Entity[33888] Report(A000000[0900])","Entity[33888] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"51969","51969", ,"51969", ,"51969"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"24654","24654", ,"24654", ,"24654"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , ,"26543", , ,"26543", ,"26543", ,"26543"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","39832","10185","2946", ,"1063","54026", ,"54026", ,"54026"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","234789","60038", ,"51609","166188","512624","-98","512526","-6139","506387"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"76657", ,"76657", ,"76657", ,"76657"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"22658", ,"22658", ,"22658", ,"22658"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"53116", ,"53116", ,"53116", ,"53116"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01600)","1600NURSING CARE","582004","148826","12849", ,"4269","747948", ,"747948", ,"747948"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"1710", ,"1710", ,"1710", ,"1710"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"190", ,"190", ,"190", ,"190"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"325", ,"325", ,"325", ,"325"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","142227","36369","3289", ,"150","182035", ,"182035", ,"182035"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","67163","17174","1951", ,"173","86461", ,"86461", ,"86461"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","120410","30790","12049","5427","1083","169759", ,"169759", ,"169759"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"157409", ,"157409", ,"157409", ,"157409"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03030)","3030ANALGESICS", , , ,"2450", ,"2450", ,"2450", ,"2450"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03032)","3032OTHER - SPECIFY", , , ,"16435", ,"16435", ,"16435", ,"16435"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"106626", ,"106626", ,"106626", ,"106626"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"20821", ,"20821", ,"20821", ,"20821"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"2540", ,"2540", ,"2540", ,"2540"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"6912", ,"6912", ,"6912", ,"6912"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"29983", ,"29983", ,"29983", ,"29983"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"546", ,"546", ,"546", ,"546"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"1190", ,"1190", ,"1190", ,"1190"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","41370","10579","941", ,"3250","56140", ,"56140", ,"56140"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(05200)","5200FUNDRAISING", , , , ,"7685","7685", ,"7685", ,"7685"
"HOSPC","hospc_2013_DATA",33888,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","144249","36886", ,"524910","15873","721918","98","722016","-524910","197106"
"Entity[33888] Report(A100000)", , , , , ,"Entity[33888] Report(A100000[0100])","Entity[33888] Report(A100000[0200])","Entity[33888] Report(A100000[0300])","Entity[33888] Report(A100000[0400])","Entity[33888] Report(A100000[0500])","Entity[33888] Report(A100000[0600])","Entity[33888] Report(A100000[0700])","Entity[33888] Report(A100000[0800])","Entity[33888] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(00500)", , , , ,"39832", , , , ,"39832"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(00600)", ,"81028", , ,"67800", , , ,"85961","234789"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(01600)", , ,"1724", , ,"580280", , , ,"582004"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(02000)", , , ,"142227", , , , , ,"142227"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(02100)", , , , , , , , ,"67163","67163"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(02400)", , , , , , , ,"120410", ,"120410"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(05000)", , , , , , ,"41370", , ,"41370"
"HOSPC","hospc_2013_DATA",33888,"A100000","Line(05300)", , , , , , , , ,"144249","144249"
"Entity[33888] Report(A200000)", , , , , ,"Entity[33888] Report(A200000[0100])","Entity[33888] Report(A200000[0200])","Entity[33888] Report(A200000[0300])","Entity[33888] Report(A200000[0400])","Entity[33888] Report(A200000[0500])","Entity[33888] Report(A200000[0600])","Entity[33888] Report(A200000[0700])","Entity[33888] Report(A200000[0800])","Entity[33888] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(00500)", , , , ,"10185", , , , ,"10185"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(00600)", ,"20720", , ,"17337", , , ,"21981","60038"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(01600)", , ,"441", , ,"148385", , , ,"148826"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(02000)", , , ,"36369", , , , , ,"36369"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(02100)", , , , , , , , ,"17174","17174"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(02400)", , , , , , , ,"30790", ,"30790"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(05000)", , , , , , ,"10579", , ,"10579"
"HOSPC","hospc_2013_DATA",33888,"A200000","Line(05300)", , , , , , , , ,"36886","36886"
"Entity[33888] Report(A300000)", , , , , ,"Entity[33888] Report(A300000[0100])","Entity[33888] Report(A300000[0200])", , , ,"Entity[33888] Report(A300000[0600])","Entity[33888] Report(A300000[0700])","Entity[33888] Report(A300000[0800])","Entity[33888] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(00600)", ,"51609", , , , , , , ,"51609"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(01000)", , , , , , , , ,"76657","76657"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(01100)", , , , , , , , ,"22658","22658"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(01500)", , ,"28850", , , , , ,"24266","53116"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(01700)", , , , , , ,"1710", , ,"1710"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(01800)", , , , , , ,"190", , ,"190"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(01900)", , , , , , ,"325", , ,"325"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(02400)", , , , , , , ,"5427", ,"5427"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03000)", , , , , , , , ,"157409","157409"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03030)", , , , , , , , ,"2450","2450"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03032)", , , , , , , , ,"16435","16435"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03100)", , , , , , , , ,"106626","106626"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03200)", , , , , , , , ,"20821","20821"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03300)", , , , , , , , ,"2540","2540"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03400)", , , , , , , , ,"6912","6912"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03500)", , , , , , , , ,"29983","29983"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03600)", , , , , , , , ,"546","546"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(03900)", , , , , , , , ,"1190","1190"
"HOSPC","hospc_2013_DATA",33888,"A300000","Line(05300)", , , , , , , , ,"524910","524910"
"Entity[33888] Report(A600010)", , , , ,"Entity[33888] Report(A600010[0000])","Entity[33888] Report(A600010[0100])","Entity[33888] Report(A600010[0200])","Entity[33888] Report(A600010[0300])", ,"Entity[33888] Report(A600010[0500])","Entity[33888] Report(A600010[0600])","Entity[33888] Report(A600010[0700])", ,"Entity[33888] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33888,"A600010","Line(00100)","NHPCO DUES TO OTHER PROGRAM COSTS","A","OTHER NONREIMBURSABLE COSTS","53", ,"98","ADMINISTRATIVE AND GENERAL","6", ,"98"
"Entity[33888] Report(A700000)", , , , , ,"Entity[33888] Report(A700000[0100])","Entity[33888] Report(A700000[0200])", ,"Entity[33888] Report(A700000[0400])","Entity[33888] Report(A700000[0500])","Entity[33888] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33888,"A700000","Line(00100)", ,"21000", , , , ,"21000"
"HOSPC","hospc_2013_DATA",33888,"A700000","Line(00300)", ,"572795", , , , ,"572795"
"HOSPC","hospc_2013_DATA",33888,"A700000","Line(00500)", ,"131201","49486", ,"49486","30627","150060"
"HOSPC","hospc_2013_DATA",33888,"A700000","Line(00700)", ,"724996","49486", ,"49486","30627","743855"
"Entity[33888] Report(A800000)", , , , ,"Entity[33888] Report(A800000[0000])","Entity[33888] Report(A800000[0100])","Entity[33888] Report(A800000[0200])","Entity[33888] Report(A800000[0300])","Entity[33888] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33888,"A800000","Line(00600)", ,"A","-6139","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33888,"A800000","Line(00800)","MEDICAID","A","-524910","OTHER NONREIMBURSABLE COSTS","53"
