"Entity[33894] Report(A000000)", , , , ,"Entity[33894] Report(A000000[0000])","Entity[33894] Report(A000000[0100])","Entity[33894] Report(A000000[0200])","Entity[33894] Report(A000000[0300])","Entity[33894] Report(A000000[0400])","Entity[33894] Report(A000000[0500])","Entity[33894] Report(A000000[0600])","Entity[33894] Report(A000000[0700])","Entity[33894] Report(A000000[0800])","Entity[33894] Report(A000000[0900])","Entity[33894] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"135390","135390", ,"135390", ,"135390"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"4187","4187", ,"4187", ,"4187"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE","475","141", , ,"121682","122298", ,"122298", ,"122298"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","44358","13198","238", ,"4995","62789", ,"62789", ,"62789"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","287936","85673","2408","5175","271200","652392","-118","652274","-2015","650259"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","643844","191570", ,"104775","1094","941283", ,"941283", ,"941283"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01500)","1500PHYSICIAN SERVICES","9701","2887","610","1310","1405","15913", ,"15913", ,"15913"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01600)","1600NURSING CARE","403663","120105","32911", ,"2693","559372", ,"559372", ,"559372"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","124736","37114","16105", ,"1321","179276", ,"179276", ,"179276"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","1620","482","4882", , ,"6984", ,"6984", ,"6984"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","69893","20796","18535", ,"232","109456", ,"109456", ,"109456"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"168459", ,"168459", ,"168459", ,"168459"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"92082", ,"92082", ,"92082", ,"92082"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"3204", ,"3204", ,"3204", ,"3204"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"320", ,"320", ,"320", ,"320"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"16938", ,"16938", ,"16938", ,"16938"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"304", ,"304", ,"304", ,"304"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"3857", ,"3857", ,"3857", ,"3857"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","56003","16663", , ,"6597","79263", ,"79263", ,"79263"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"3975","3975", ,"3975", ,"3975"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(05200)","5200FUNDRAISING","243887","72566","7791","48","150979","475271", ,"475271", ,"475271"
"HOSPC","hospc_2013_DATA",33894,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","176005","52368","3438","81764","3144","316719","118","316837","-81764","235073"
"Entity[33894] Report(A100000)", , , , , ,"Entity[33894] Report(A100000[0100])","Entity[33894] Report(A100000[0200])","Entity[33894] Report(A100000[0300])","Entity[33894] Report(A100000[0400])","Entity[33894] Report(A100000[0500])", ,"Entity[33894] Report(A100000[0700])","Entity[33894] Report(A100000[0800])","Entity[33894] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(00300)", , , , , , , , ,"475","475"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(00500)", , , , ,"44358", , , , ,"44358"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(00600)", ,"133246", , , ,"65392", , ,"89298","287936"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(01000)", , ,"145521","35968", ,"354567", ,"57466","50322","643844"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(01500)", , ,"9701", , , , , , ,"9701"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(01600)", , ,"92080", , ,"311583", , , ,"403663"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(02000)", , , ,"124736", , , , , ,"124736"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(02100)", , , , , , , , ,"1620","1620"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(02400)", , , , , , , ,"69893", ,"69893"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(05000)", , ,"40789", , , , , ,"15214","56003"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(05200)", , , , , , , , ,"243887","243887"
"HOSPC","hospc_2013_DATA",33894,"A100000","Line(05300)", , ,"38806", , ,"111343", , ,"25856","176005"
"Entity[33894] Report(A200000)", , , , , ,"Entity[33894] Report(A200000[0100])","Entity[33894] Report(A200000[0200])","Entity[33894] Report(A200000[0300])","Entity[33894] Report(A200000[0400])","Entity[33894] Report(A200000[0500])", ,"Entity[33894] Report(A200000[0700])","Entity[33894] Report(A200000[0800])","Entity[33894] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(00300)", , , , , , , , ,"141","141"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(00500)", , , , ,"13198", , , , ,"13198"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(00600)", ,"39646", , , ,"19457", , ,"26570","85673"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(01000)", , ,"43298","10702", ,"105498", ,"17099","14973","191570"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(01500)", , ,"2887", , , , , , ,"2887"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(01600)", , ,"27397", , ,"92708", , , ,"120105"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(02000)", , , ,"37114", , , , , ,"37114"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(02100)", , , , , , , , ,"482","482"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(02400)", , , , , , , ,"20796", ,"20796"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(05000)", , ,"12136", , , , , ,"4527","16663"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(05200)", , , , , , , , ,"72566","72566"
"HOSPC","hospc_2013_DATA",33894,"A200000","Line(05300)", , ,"11546", , ,"33129", , ,"7693","52368"
"Entity[33894] Report(A300000)", , , , , , , , , , , , ,"Entity[33894] Report(A300000[0800])","Entity[33894] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(00600)", , , , , , , , ,"5175","5175"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(01000)", , , , , , , , ,"104775","104775"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(01500)", , , , , , , , ,"1310","1310"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(03000)", , , , , , , , ,"168459","168459"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(03100)", , , , , , , , ,"92082","92082"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(03200)", , , , , , , , ,"3204","3204"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(03400)", , , , , , , , ,"320","320"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(03500)", , , , , , , , ,"16938","16938"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(03600)", , , , , , , , ,"304","304"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(03900)", , , , , , , , ,"3857","3857"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(05200)", , , , , , , , ,"48","48"
"HOSPC","hospc_2013_DATA",33894,"A300000","Line(05300)", , , , , , , , ,"81764","81764"
"Entity[33894] Report(A600010)", , , , ,"Entity[33894] Report(A600010[0000])","Entity[33894] Report(A600010[0100])","Entity[33894] Report(A600010[0200])","Entity[33894] Report(A600010[0300])", ,"Entity[33894] Report(A600010[0500])","Entity[33894] Report(A600010[0600])","Entity[33894] Report(A600010[0700])", ,"Entity[33894] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33894,"A600010","Line(00100)","NHPCO","A","OTHER NONREIMBURSABLE COSTS","53", ,"118","ADMINISTRATIVE AND GENERAL","6", ,"118"
"Entity[33894] Report(A700000)", , , , , ,"Entity[33894] Report(A700000[0100])","Entity[33894] Report(A700000[0200])", ,"Entity[33894] Report(A700000[0400])", ,"Entity[33894] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33894,"A700000","Line(00100)", ,"110593","216444", ,"216444", ,"327037"
"HOSPC","hospc_2013_DATA",33894,"A700000","Line(00200)", ,"75735","6855", ,"6855", ,"82590"
"HOSPC","hospc_2013_DATA",33894,"A700000","Line(00300)", ,"3796751", , , , ,"3796751"
"HOSPC","hospc_2013_DATA",33894,"A700000","Line(00500)", ,"594825","26079", ,"26079", ,"620904"
"HOSPC","hospc_2013_DATA",33894,"A700000","Line(00600)", ,"213330","17209", ,"17209", ,"230539"
"HOSPC","hospc_2013_DATA",33894,"A700000","Line(00700)", ,"4791234","266587", ,"266587", ,"5057821"
"Entity[33894] Report(A800000)", , , , ,"Entity[33894] Report(A800000[0000])","Entity[33894] Report(A800000[0100])","Entity[33894] Report(A800000[0200])","Entity[33894] Report(A800000[0300])","Entity[33894] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33894,"A800000","Line(00600)", ,"A","-2015","ADMINISTRATIVE AND GENERAL","6"
