"Entity[33939] Report(A000000)", , , , ,"Entity[33939] Report(A000000[0000])","Entity[33939] Report(A000000[0100])","Entity[33939] Report(A000000[0200])","Entity[33939] Report(A000000[0300])","Entity[33939] Report(A000000[0400])","Entity[33939] Report(A000000[0500])","Entity[33939] Report(A000000[0600])", ,"Entity[33939] Report(A000000[0800])", ,"Entity[33939] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","456152","99674","13038", ,"110748","679612", ,"679612", ,"679612"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01500)","1500PHYSICIAN SERVICES","117487","14580", ,"103742","21963","257772", ,"257772", ,"257772"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01600)","1600NURSING CARE","635010","176311","30000", ,"21400","862721", ,"862721", ,"862721"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C", , ,"423", ,"563","986", ,"986", ,"986"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"4303", ,"4303", ,"4303", ,"4303"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","98715","32599","8692", , ,"140006", ,"140006", ,"140006"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","78272","23666","8692", ,"43926","154556", ,"154556", ,"154556"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(02200)","2200DIETARY COUNSELING", , , , ,"43926","43926", ,"43926", ,"43926"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","150192","60072","17000", ,"21000","248264", ,"248264", ,"248264"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME", , ,"385", ,"963","1348", ,"1348", ,"1348"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , ,"5771", ,"5771", ,"5771", ,"5771"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION","33117","12212", , ,"166411","211740", ,"211740", ,"211740"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN","79894","27255", , ,"97868","205017", ,"205017", ,"205017"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03200)","3200PATIENT TRANSPORTATION"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"7471","7471", ,"7471", ,"7471"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS","21690","10617", , ,"167074","199381", ,"199381", ,"199381"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","26788","6580","4346", ,"22345","60059", ,"60059", ,"60059"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS","1654","1182","4346", ,"21963","29145", ,"29145", ,"29145"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",33939,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"Entity[33939] Report(A100000)", , , , , ,"Entity[33939] Report(A100000[0100])","Entity[33939] Report(A100000[0200])","Entity[33939] Report(A100000[0300])", ,"Entity[33939] Report(A100000[0500])", ,"Entity[33939] Report(A100000[0700])","Entity[33939] Report(A100000[0800])","Entity[33939] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(00600)", ,"109694", , , , , , ,"346458","456152"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(01500)", , ,"117487", , , , , , ,"117487"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(01600)", , , , , ,"635010", , , ,"635010"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(02000)", , , ,"98715", , , , , ,"98715"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(02100)", , , , , , , , ,"78272","78272"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(02400)", , , , , , , ,"150192", ,"150192"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(03000)", , , , , , , , ,"33117","33117"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(03100)", , , , , , , , ,"79894","79894"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(03500)", , , , , , , , ,"21690","21690"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(05000)", , , , , , , , ,"26788","26788"
"HOSPC","hospc_2013_DATA",33939,"A100000","Line(05100)", , , , , , , , ,"1654","1654"
"Entity[33939] Report(A200000)", , , , , ,"Entity[33939] Report(A200000[0100])","Entity[33939] Report(A200000[0200])","Entity[33939] Report(A200000[0300])", ,"Entity[33939] Report(A200000[0500])", ,"Entity[33939] Report(A200000[0700])","Entity[33939] Report(A200000[0800])","Entity[33939] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(00600)", ,"26235", , , , , , ,"73439","99674"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(01500)", , ,"14580", , , , , , ,"14580"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(01600)", , , , , ,"176311", , , ,"176311"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(02000)", , , ,"32599", , , , , ,"32599"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(02100)", , , , , , , , ,"23666","23666"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(02400)", , , , , , , ,"60072", ,"60072"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(03000)", , , , , , , , ,"12212","12212"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(03100)", , , , , , , , ,"27255","27255"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(03500)", , , , , , , , ,"10617","10617"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(05000)", , , , , , , , ,"6580","6580"
"HOSPC","hospc_2013_DATA",33939,"A200000","Line(05100)", , , , , , , , ,"1182","1182"
"Entity[33939] Report(A300000)", , , , , , ,"Entity[33939] Report(A300000[0200])", , , ,"Entity[33939] Report(A300000[0600])", , ,"Entity[33939] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33939,"A300000","Line(01500)", , ,"103742", , , , , , ,"103742"
"HOSPC","hospc_2013_DATA",33939,"A300000","Line(01700)", , , , , , ,"4303", , ,"4303"
"HOSPC","hospc_2013_DATA",33939,"A300000","Line(02500)", , , , , , ,"5771", , ,"5771"
"Entity[33939] Report(A700000)", , , , , ,"Entity[33939] Report(A700000[0100])","Entity[33939] Report(A700000[0200])", ,"Entity[33939] Report(A700000[0400])", ,"Entity[33939] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33939,"A700000","Line(00600)", ,"321093","39623", ,"39623", ,"360716"
"HOSPC","hospc_2013_DATA",33939,"A700000","Line(00700)", ,"321093","39623", ,"39623", ,"360716"
