"Entity[33958] Report(G000000)", , , , , ,"Entity[33958] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(00100)", ,"60075"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(00400)", ,"885326"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(01100)", ,"945401"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(02100)", ,"21853"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(02300)", ,"55143"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(02400)", ,"64880"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(02700)", ,"12116"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(03100)", ,"11309"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(03200)", ,"11309"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(03300)", ,"968826"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(03400)", ,"277545"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(03600)", ,"2831"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(04100)", ,"47326"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(04200)", ,"327702"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(04400)", ,"109468"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(04900)", ,"109468"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(05000)", ,"437170"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(05100)", ,"531659"
"HOSPC","hospc_2013_DATA",33958,"G000000","Line(05800)", ,"531659"
"Entity[33958] Report(G100000)", , , , ,"Entity[33958] Report(G100000[0000])","Entity[33958] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33958,"G100000","Line(00100)", ,"707404"
"HOSPC","hospc_2013_DATA",33958,"G100000","Line(00200)", ,"1132255"
"HOSPC","hospc_2013_DATA",33958,"G100000","Line(00300)", ,"1839659"
"HOSPC","hospc_2013_DATA",33958,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",33958,"G100000","Line(01100)", ,"1839659"
"HOSPC","hospc_2013_DATA",33958,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SPEC","1308000"
"HOSPC","hospc_2013_DATA",33958,"G100000","Line(01800)", ,"1308000"
"Entity[33958] Report(G200001)", , , , , ,"Entity[33958] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33958,"G200001","Line(00300)", ,"6685621"
"Entity[33958] Report(G200002)", , , , ,"Entity[33958] Report(G200002[0000])","Entity[33958] Report(G200002[0100])","Entity[33958] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33958,"G200002","Line(00100)", , ,"5560804"
"HOSPC","hospc_2013_DATA",33958,"G200002","Line(00200)","DD (SPECIFY)"
"HOSPC","hospc_2013_DATA",33958,"G200002","Line(00900)","EDUCT (SPECIFY)"
"HOSPC","hospc_2013_DATA",33958,"G200002","Line(01000)","MISC. INCOME","7438"
"HOSPC","hospc_2013_DATA",33958,"G200002","Line(01400)", , ,"7438"
"HOSPC","hospc_2013_DATA",33958,"G200002","Line(01500)", , ,"5553366"
