"Entity[33974] Report(A000000)", , , , ,"Entity[33974] Report(A000000[0000])","Entity[33974] Report(A000000[0100])","Entity[33974] Report(A000000[0200])","Entity[33974] Report(A000000[0300])","Entity[33974] Report(A000000[0400])","Entity[33974] Report(A000000[0500])","Entity[33974] Report(A000000[0600])", ,"Entity[33974] Report(A000000[0800])","Entity[33974] Report(A000000[0900])","Entity[33974] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(00100)","0100CAP REL COSTS-BLDG & FIXT", , , , ,"38947","38947", ,"38947", ,"38947"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(00200)","0200CAP REL COSTS-MVBLE EQUIP"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"36375","36375", ,"36375", ,"36375"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(00500)","0500VOLUNTEER SERVICES","20171","3176","184", ,"270","23801", ,"23801", ,"23801"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(00600)","0600ADMINISTRATIVE & GENERAL","291008","45818","1355", ,"199377","537558", ,"537558","-66438","471120"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE","44509","7008","28", ,"10838","62383", ,"62383", ,"62383"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01100)","1100INPATIENT-RESPITE CARE","31056","4890","20","91705","7562","135233", ,"135233","-91903","43330"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01500)","1500PHYSICIAN SERVICES"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01600)","1600NURSING CARE","143737","22631","25380", , ,"191748", ,"191748", ,"191748"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","57079","8987","4727", , ,"70793", ,"70793", ,"70793"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","48052","7566","9764", , ,"65382", ,"65382", ,"65382"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","58065","9142","33455", , ,"100662", ,"100662", ,"100662"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03000)","3000DRUGS BIOLOGICAL AND INFUSION"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03030)","3030ANALGESICS", , , , ,"43194","43194", ,"43194", ,"43194"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , ,"11481","11481", ,"11481", ,"11481"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03032)","3032OTHER - SPECIFY", , , , ,"2878","2878", ,"2878", ,"2878"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"100735","100735", ,"100735", ,"100735"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , ,"432","432", ,"432", ,"432"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"282","282", ,"282", ,"282"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENT", , , , ,"15031","15031", ,"15031", ,"15031"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INC E/R DEP"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","16815","2646", , ,"8724","28185", ,"28185", ,"28185"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COST"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(05200)","5200FUNDRAISING", , , , ,"14985","14985", ,"14985", ,"14985"
"HOSPC","hospc_2013_DATA",33974,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","343541","54089","217", ,"100969","498816", ,"498816", ,"498816"
"Entity[33974] Report(A100000)", , , , , , , ,"Entity[33974] Report(A100000[0300])", ,"Entity[33974] Report(A100000[0500])", ,"Entity[33974] Report(A100000[0700])","Entity[33974] Report(A100000[0800])","Entity[33974] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(00500)", , , , , , , , ,"20171","20171"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(00600)", , , , , , , , ,"291008","291008"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(01000)", , , , , , , , ,"44509","44509"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(01100)", , , , , , , , ,"31056","31056"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(01600)", , , , , ,"143737", , , ,"143737"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(02000)", , , ,"57079", , , , , ,"57079"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(02100)", , , , , , , , ,"48052","48052"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(02400)", , , , , , , ,"58065", ,"58065"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(05000)", , , , , , , , ,"16815","16815"
"HOSPC","hospc_2013_DATA",33974,"A100000","Line(05300)", , , , , , , , ,"343541","343541"
"Entity[33974] Report(A200000)", , , , , , , ,"Entity[33974] Report(A200000[0300])", ,"Entity[33974] Report(A200000[0500])", ,"Entity[33974] Report(A200000[0700])","Entity[33974] Report(A200000[0800])","Entity[33974] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(00500)", , , , , , , , ,"3176","3176"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(00600)", , , , , , , , ,"45818","45818"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(01000)", , , , , , , , ,"7008","7008"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(01100)", , , , , , , , ,"4890","4890"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(01600)", , , , , ,"22631", , , ,"22631"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(02000)", , , ,"8987", , , , , ,"8987"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(02100)", , , , , , , , ,"7566","7566"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(02400)", , , , , , , ,"9142", ,"9142"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(05000)", , , , , , , , ,"2646","2646"
"HOSPC","hospc_2013_DATA",33974,"A200000","Line(05300)", , , , , , , , ,"54089","54089"
"Entity[33974] Report(A300000)", , , , , , , , , , , , ,"Entity[33974] Report(A300000[0800])","Entity[33974] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33974,"A300000","Line(01100)", , , , , , , , ,"91705","91705"
"Entity[33974] Report(A700000)", , , , , ,"Entity[33974] Report(A700000[0100])", , , , ,"Entity[33974] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33974,"A700000","Line(00100)", ,"46545", , , , ,"46545"
"HOSPC","hospc_2013_DATA",33974,"A700000","Line(00300)", ,"808455", , , , ,"808455"
"HOSPC","hospc_2013_DATA",33974,"A700000","Line(00700)", ,"855000", , , , ,"855000"
"Entity[33974] Report(A800000)", , , , ,"Entity[33974] Report(A800000[0000])","Entity[33974] Report(A800000[0100])","Entity[33974] Report(A800000[0200])","Entity[33974] Report(A800000[0300])","Entity[33974] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",33974,"A800000","Line(00801)","NONALLOWABLE ADS & PUBLIC RELATIONS","A","-4091","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33974,"A800000","Line(00802)","REMOVE MEDICAID ROOM & BOARD PYMTS","A","-91903","INPATIENT- RESPITE CARE","11"
"HOSPC","hospc_2013_DATA",33974,"A800000","Line(00803)","OFFSET OTHER INCOME","B","-370","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33974,"A800000","Line(00804)","REMOVE BANKRUPTCY CHARGE OFFS","A","-41540","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33974,"A800000","Line(00805)","REMOVE DONATED VOLUNTEER SERVICES","A","-15","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",33974,"A800000","Line(00806)","OFFSET FLOOD INSURANCE PROCEEDS","B","-20422","ADMINISTRATIVE AND GENERAL","6"
