"Entity[33978] Report(A000000)", , , , ,"Entity[33978] Report(A000000[0000])","Entity[33978] Report(A000000[0100])","Entity[33978] Report(A000000[0200])","Entity[33978] Report(A000000[0300])","Entity[33978] Report(A000000[0400])","Entity[33978] Report(A000000[0500])","Entity[33978] Report(A000000[0600])","Entity[33978] Report(A000000[0700])","Entity[33978] Report(A000000[0800])","Entity[33978] Report(A000000[0900])","Entity[33978] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , , , ,"394066","394066","-40202","353864"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , , , ,"169824","169824", ,"169824"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE","155724","45217","505","1229","361667","564342","-213779","350563", ,"350563"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","10427","3127","686", , ,"14240", ,"14240", ,"14240"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(00601)","0621A&G SHARED COSTS","1736337","433026","43109","58194","1512617","3783283","-350111","3433172","-259102","3174070"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(00602)","0622A&G HOSPICE COSTS","721450","151508","10882","134","238952","1122926","-4083","1118843","3252","1122095"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01500)","1500PHYSICIAN SERVICES","239961","13830", ,"39259", ,"293050", ,"293050", ,"293050"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01600)","1600NURSING CARE","2476695","531606","99796", ,"184","3108281", ,"3108281", ,"3108281"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01700)","1700PHYSICAL THERAPY","29917","4514","2277", , ,"36708", ,"36708", ,"36708"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", ,"83", , , ,"83", ,"83", ,"83"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","554472","135688","26004", , ,"716164", ,"716164", ,"716164"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","118472","26509","8460", , ,"153441", ,"153441", ,"153441"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","403053","102636","48185","1021", ,"554895", ,"554895", ,"554895"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"558379","558379", ,"558379", ,"558379"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"34343","34343", ,"34343", ,"34343"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , ,"76814", , ,"76814", ,"76814", ,"76814"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"12822","12822", ,"12822", ,"12822"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"55328","55328", ,"55328", ,"55328"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , ,"11485","11485", ,"11485", ,"11485"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","14635","2235","689", ,"8465","26024","4083","30107", ,"30107"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05200)","5200FUNDRAISING","315189","67269","25953", ,"5469","413880", ,"413880", ,"413880"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05300)","5300OTHER NON-REIMBURSABLE COSTS"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05301)","5301HHA CERTIFIED","3252881","624188","226345","584090","318858","5006362", ,"5006362", ,"5006362"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05302)","5302UNCERTIFIED HHA","33752","7295","-1238", ,"9","39818", ,"39818", ,"39818"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05303)","5303HOME CARE","806898","226234","58557","1727","46241","1139657", ,"1139657", ,"1139657"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05304)","5304FOUNDATION","125644","27141","307","25","54454","207571", ,"207571", ,"207571"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05305)","5305THRIFT SHOP","51867","4644","234", ,"42754","99499", ,"99499", ,"99499"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05306)","5306DAY CARE"
"HOSPC","hospc_2013_DATA",33978,"A000000","Line(05307)","5307SNF CONTRACT", , , , ,"308325","308325", ,"308325", ,"308325"
"Entity[33978] Report(A100000)", , , , , , ,"Entity[33978] Report(A100000[0200])","Entity[33978] Report(A100000[0300])", ,"Entity[33978] Report(A100000[0500])","Entity[33978] Report(A100000[0600])","Entity[33978] Report(A100000[0700])","Entity[33978] Report(A100000[0800])","Entity[33978] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(00300)", , ,"35286", , , , , ,"120438","155724"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(00500)", , , , , , , , ,"10427","10427"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(00601)", , ,"757658", , , , , ,"978679","1736337"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(00602)", , ,"219418", , , , , ,"502032","721450"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(01500)", , , , , , , , ,"239961","239961"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(01600)", , , , , ,"2476695", , , ,"2476695"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(01700)", , , , , , ,"29917", , ,"29917"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(02000)", , , ,"554472", , , , , ,"554472"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(02100)", , , , , , , , ,"118472","118472"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(02400)", , , , , , , ,"403053", ,"403053"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(05000)", , , , , , , , ,"14635","14635"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(05200)", , , , , , , , ,"315189","315189"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(05301)", , ,"74870","132994", ,"1305616","1026380","68697","644324","3252881"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(05302)", , , , , ,"33752", , , ,"33752"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(05303)", , ,"32207", , , , ,"631943","142748","806898"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(05304)", , ,"47554", , , , , ,"78090","125644"
"HOSPC","hospc_2013_DATA",33978,"A100000","Line(05305)", , , , , , , , ,"51867","51867"
"Entity[33978] Report(A200000)", , , , , , ,"Entity[33978] Report(A200000[0200])","Entity[33978] Report(A200000[0300])", ,"Entity[33978] Report(A200000[0500])","Entity[33978] Report(A200000[0600])","Entity[33978] Report(A200000[0700])","Entity[33978] Report(A200000[0800])","Entity[33978] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(00300)", , ,"6832", , , , , ,"38385","45217"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(00500)", , , , , , , , ,"3127","3127"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(00601)", , ,"168684", , , , , ,"264342","433026"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(00602)", , ,"52112", , , , , ,"99396","151508"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(01500)", , , , , , , , ,"13830","13830"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(01600)", , , , , ,"531606", , , ,"531606"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(01700)", , , , , , ,"4514", , ,"4514"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(01800)", , , , , , ,"83", , ,"83"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(02000)", , , ,"135688", , , , , ,"135688"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(02100)", , , , , , , , ,"26509","26509"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(02400)", , , , , , , ,"102636", ,"102636"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(05000)", , , , , , , , ,"2235","2235"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(05200)", , , , , , , , ,"67269","67269"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(05301)", , ,"14834","14428", ,"279107","190938","11160","113721","624188"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(05302)", , , , , ,"7295", , , ,"7295"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(05303)", , ,"9221", , , , ,"185286","31727","226234"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(05304)", , ,"9384", , , , , ,"17757","27141"
"HOSPC","hospc_2013_DATA",33978,"A200000","Line(05305)", , , , , , , , ,"4644","4644"
"Entity[33978] Report(A300000)", , , , , , ,"Entity[33978] Report(A300000[0200])", , , ,"Entity[33978] Report(A300000[0600])","Entity[33978] Report(A300000[0700])","Entity[33978] Report(A300000[0800])","Entity[33978] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(00300)", , , , , , , , ,"1229","1229"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(00601)", , , , , , , , ,"58194","58194"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(00602)", , , , , , , , ,"134","134"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(01500)", , ,"39259", , , , , , ,"39259"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(02400)", , , , , , , ,"1021", ,"1021"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(05301)", , , , , , ,"574918", ,"9172","584090"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(05303)", , , , , , , , ,"1727","1727"
"HOSPC","hospc_2013_DATA",33978,"A300000","Line(05304)", , , , , , , , ,"25","25"
"Entity[33978] Report(A600010)", , , , ,"Entity[33978] Report(A600010[0000])","Entity[33978] Report(A600010[0100])","Entity[33978] Report(A600010[0200])","Entity[33978] Report(A600010[0300])", ,"Entity[33978] Report(A600010[0500])","Entity[33978] Report(A600010[0600])","Entity[33978] Report(A600010[0700])", ,"Entity[33978] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",33978,"A600010","Line(00100)","TO RECLASSIFY CAPITAL COSTS","A","CAPITAL REL COSTS-BLDG & FIXT","1", ,"394066","PLANT OPERATION AND MAINTENANCE","3", ,"213779"
"HOSPC","hospc_2013_DATA",33978,"A600010","Line(00200)","TO RECLASSIFY CAPITAL COSTS","A","CAPITAL REL COSTS-MOVABLE EQUIP","2", ,"169824","A&G SHARED COSTS","6", ,"350111"
"HOSPC","hospc_2013_DATA",33978,"A600010","Line(00300)","TO RECLASSIFY BEREAVEMENT EXPENSE","B","BEREAVEMENT PROGRAM COSTS","50", ,"4083","A&G HOSPICE COSTS","6", ,"4083"
"Entity[33978] Report(A700000)", , , , , ,"Entity[33978] Report(A700000[0100])","Entity[33978] Report(A700000[0200])", ,"Entity[33978] Report(A700000[0400])","Entity[33978] Report(A700000[0500])","Entity[33978] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33978,"A700000","Line(00100)", ,"3785617","66278", ,"66278","58878","3793017"
"HOSPC","hospc_2013_DATA",33978,"A700000","Line(00200)", ,"20475", , , ,"447","20028"
"HOSPC","hospc_2013_DATA",33978,"A700000","Line(00300)", ,"6025718","11461", ,"11461", ,"6037179"
"HOSPC","hospc_2013_DATA",33978,"A700000","Line(00600)", ,"2061651","83956", ,"83956","56905","2088702"
"HOSPC","hospc_2013_DATA",33978,"A700000","Line(00700)", ,"11893461","161695", ,"161695","116230","11938926"
