"Entity[33985] Report(A000000)", , , , ,"Entity[33985] Report(A000000[0000])","Entity[33985] Report(A000000[0100])","Entity[33985] Report(A000000[0200])","Entity[33985] Report(A000000[0300])","Entity[33985] Report(A000000[0400])","Entity[33985] Report(A000000[0500])","Entity[33985] Report(A000000[0600])", ,"Entity[33985] Report(A000000[0800])", ,"Entity[33985] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"37800","37800", ,"37800", ,"37800"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"4013","4013", ,"4013", ,"4013"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATOR","36134","7758", , , ,"43892", ,"43892", ,"43892"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","238422","51192","47615","110157","146506","593892", ,"593892", ,"593892"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE", , , ,"2652", ,"2652", ,"2652", ,"2652"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"22375", ,"22375", ,"22375", ,"22375"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(01600)","1600NURSING CARE","627555","134741", , , ,"762296", ,"762296", ,"762296"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","140483","30163", , , ,"170646", ,"170646", ,"170646"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","41187","8843", , , ,"50030", ,"50030", ,"50030"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","131435","28220", , , ,"159655", ,"159655", ,"159655"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"119037","119037", ,"119037", ,"119037"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"83737","83737", ,"83737", ,"83737"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"6271","30876","37147", ,"37147", ,"37147"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","45593","9789", , ,"108","55490", ,"55490", ,"55490"
"HOSPC","hospc_2013_DATA",33985,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , , ,"716878","716878", ,"716878", ,"716878"
"Entity[33985] Report(A100000)", , , , , ,"Entity[33985] Report(A100000[0100])","Entity[33985] Report(A100000[0200])","Entity[33985] Report(A100000[0300])","Entity[33985] Report(A100000[0400])","Entity[33985] Report(A100000[0500])", ,"Entity[33985] Report(A100000[0700])","Entity[33985] Report(A100000[0800])","Entity[33985] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33985,"A100000","Line(00500)", , , , , , , , ,"36134","36134"
"HOSPC","hospc_2013_DATA",33985,"A100000","Line(00600)", ,"93766", , , , , , ,"144656","238422"
"HOSPC","hospc_2013_DATA",33985,"A100000","Line(01600)", , ,"75593", ,"74113","477849", , , ,"627555"
"HOSPC","hospc_2013_DATA",33985,"A100000","Line(02000)", , , ,"140483", , , , , ,"140483"
"HOSPC","hospc_2013_DATA",33985,"A100000","Line(02100)", , , , , , , , ,"41187","41187"
"HOSPC","hospc_2013_DATA",33985,"A100000","Line(02400)", , , , , , , ,"131435", ,"131435"
"HOSPC","hospc_2013_DATA",33985,"A100000","Line(05000)", , , , , , , , ,"45593","45593"
"Entity[33985] Report(A200000)", , , , , ,"Entity[33985] Report(A200000[0100])","Entity[33985] Report(A200000[0200])","Entity[33985] Report(A200000[0300])","Entity[33985] Report(A200000[0400])","Entity[33985] Report(A200000[0500])", ,"Entity[33985] Report(A200000[0700])","Entity[33985] Report(A200000[0800])","Entity[33985] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33985,"A200000","Line(00500)", , , , , , , , ,"7758","7758"
"HOSPC","hospc_2013_DATA",33985,"A200000","Line(00600)", ,"20132", , , , , , ,"31060","51192"
"HOSPC","hospc_2013_DATA",33985,"A200000","Line(01600)", , ,"16230", ,"15913","102598", , , ,"134741"
"HOSPC","hospc_2013_DATA",33985,"A200000","Line(02000)", , , ,"30163", , , , , ,"30163"
"HOSPC","hospc_2013_DATA",33985,"A200000","Line(02100)", , , , , , , , ,"8843","8843"
"HOSPC","hospc_2013_DATA",33985,"A200000","Line(02400)", , , , , , , ,"28220", ,"28220"
"HOSPC","hospc_2013_DATA",33985,"A200000","Line(05000)", , , , , , , , ,"9789","9789"
"Entity[33985] Report(A300000)", , , , , , , , , , , , ,"Entity[33985] Report(A300000[0800])","Entity[33985] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33985,"A300000","Line(00600)", , , , , , , , ,"110157","110157"
"HOSPC","hospc_2013_DATA",33985,"A300000","Line(01000)", , , , , , , , ,"2652","2652"
"HOSPC","hospc_2013_DATA",33985,"A300000","Line(01500)", , , , , , , , ,"22375","22375"
"HOSPC","hospc_2013_DATA",33985,"A300000","Line(03400)", , , , , , , , ,"6271","6271"
"Entity[33985] Report(A700000)", , , , , ,"Entity[33985] Report(A700000[0100])","Entity[33985] Report(A700000[0200])", ,"Entity[33985] Report(A700000[0400])", ,"Entity[33985] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33985,"A700000","Line(00600)", ,"52331","3275", ,"3275", ,"55606"
"HOSPC","hospc_2013_DATA",33985,"A700000","Line(00700)", ,"52331","3275", ,"3275", ,"55606"
