"Entity[33997] Report(A000000)", , , , ,"Entity[33997] Report(A000000[0000])","Entity[33997] Report(A000000[0100])","Entity[33997] Report(A000000[0200])","Entity[33997] Report(A000000[0300])","Entity[33997] Report(A000000[0400])","Entity[33997] Report(A000000[0500])","Entity[33997] Report(A000000[0600])", ,"Entity[33997] Report(A000000[0800])", ,"Entity[33997] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"18314","18314", ,"18314", ,"18314"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(00400)","0400TRANSPORTATION-STAFF","31877", ,"31877", , ,"63754", ,"63754", ,"63754"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION", ,"11344", , , ,"11344", ,"11344", ,"11344"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","704240","88121", , ,"704240","1496601", ,"1496601", ,"1496601"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","13556", , ,"13556","1356","28468", ,"28468", ,"28468"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE","1758", , ,"1758","1758","5274", ,"5274", ,"5274"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01500)","1500PHYSICIAN SERVICES","52908", , ,"52908","52908","158724", ,"158724", ,"158724"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01600)","1600NURSING CARE","97617","97617", , ,"97617","292851", ,"292851", ,"292851"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01700)","1700PHYSICAL THERAPY","985", , ,"985","985","2955", ,"2955", ,"2955"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY","985", , ,"985","985","2955", ,"2955", ,"2955"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","10396","10396", , ,"10396","31188", ,"31188", ,"31188"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","8859","8859", , ,"8859","26577", ,"26577", ,"26577"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(02200)","2200DIETARY COUNSELING","1720", , ,"1720","1720","5160", ,"5160", ,"5160"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","181349","181349", , ,"181349","544047", ,"544047", ,"544047"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION","72210", , ,"72210","72210","216630", ,"216630", ,"216630"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03030)","3030ANALGESICS","18168", , ,"18168","18168","54504", ,"54504", ,"54504"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS","1148", , ,"1148","1148","3444", ,"3444", ,"3444"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN","152011", , ,"152011","152011","456033", ,"456033", ,"456033"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03200)","3200PATIENT TRANSPORTATION","14078", ,"14078","14078", ,"42234", ,"42234", ,"42234"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03300)","3300IMAGING SERVICES","3611", , ,"3611","3611","10833", ,"10833", ,"10833"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS","3612", , ,"3612","3612","10836", ,"10836", ,"10836"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS","50260", , ,"50260","50260","150780", ,"150780", ,"150780"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"256208","1238569","1494777", ,"1494777", ,"1494777"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","14811","14811", , ,"14811","44433", ,"44433", ,"44433"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS","9957", , , ,"9957","19914", ,"19914", ,"19914"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",33997,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"Entity[33997] Report(A100000)", , , , , , ,"Entity[33997] Report(A100000[0200])","Entity[33997] Report(A100000[0300])", ,"Entity[33997] Report(A100000[0500])","Entity[33997] Report(A100000[0600])","Entity[33997] Report(A100000[0700])","Entity[33997] Report(A100000[0800])","Entity[33997] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(00400)", , , , , , , , ,"31877","31877"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(00600)", , ,"88121", , , , , ,"616119","704240"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(01000)", , , , , , , , ,"13556","13556"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(01100)", , , , , , , , ,"1758","1758"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(01500)", , , , , , , , ,"52908","52908"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(01600)", , , , , ,"97617", , , ,"97617"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(01700)", , , , , , ,"985", , ,"985"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(01800)", , , , , , ,"985", , ,"985"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(02000)", , , ,"10396", , , , , ,"10396"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(02100)", , , , , , , , ,"8859","8859"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(02200)", , , , , , , , ,"1720","1720"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(02400)", , , , , , , ,"181349", ,"181349"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03000)", , , , , , , , ,"72210","72210"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03030)", , , , , , , , ,"18168","18168"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03031)", , , , , , , , ,"1148","1148"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03100)", , , , , , , , ,"152011","152011"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03200)", , , , , , , , ,"14078","14078"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03300)", , , , , , , , ,"3611","3611"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03400)", , , , , , , , ,"3612","3612"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(03500)", , , , , , , , ,"50260","50260"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(05000)", , , , , , , , ,"14811","14811"
"HOSPC","hospc_2013_DATA",33997,"A100000","Line(05100)", , , , , , , , ,"9957","9957"
"Entity[33997] Report(A200000)", , , , , , ,"Entity[33997] Report(A200000[0200])","Entity[33997] Report(A200000[0300])", ,"Entity[33997] Report(A200000[0500])", ,"Entity[33997] Report(A200000[0700])","Entity[33997] Report(A200000[0800])","Entity[33997] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",33997,"A200000","Line(00500)", , , ,"11344", , , , , ,"11344"
"HOSPC","hospc_2013_DATA",33997,"A200000","Line(00600)", , ,"88121", , , , , , ,"88121"
"HOSPC","hospc_2013_DATA",33997,"A200000","Line(01600)", , , , , ,"97617", , , ,"97617"
"HOSPC","hospc_2013_DATA",33997,"A200000","Line(02000)", , , ,"10396", , , , , ,"10396"
"HOSPC","hospc_2013_DATA",33997,"A200000","Line(02100)", , , , , , , , ,"8859","8859"
"HOSPC","hospc_2013_DATA",33997,"A200000","Line(02400)", , , , , , , ,"181349", ,"181349"
"HOSPC","hospc_2013_DATA",33997,"A200000","Line(05000)", , , , , , , , ,"14811","14811"
"Entity[33997] Report(A300000)", , , , , , , , , , , , ,"Entity[33997] Report(A300000[0800])","Entity[33997] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(01000)", , , , , , , , ,"13556","13556"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(01100)", , , , , , , , ,"1758","1758"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(01500)", , , , , , , , ,"52908","52908"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(01700)", , , , , , , , ,"985","985"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(01800)", , , , , , , , ,"985","985"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(02200)", , , , , , , , ,"1720","1720"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03000)", , , , , , , , ,"72210","72210"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03030)", , , , , , , , ,"18168","18168"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03031)", , , , , , , , ,"1148","1148"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03100)", , , , , , , , ,"152011","152011"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03200)", , , , , , , , ,"14078","14078"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03300)", , , , , , , , ,"3611","3611"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03400)", , , , , , , , ,"3612","3612"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03500)", , , , , , , , ,"50260","50260"
"HOSPC","hospc_2013_DATA",33997,"A300000","Line(03900)", , , , , , , , ,"256208","256208"
"Entity[33997] Report(A700000)", , , , , , ,"Entity[33997] Report(A700000[0200])", ,"Entity[33997] Report(A700000[0400])", ,"Entity[33997] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",33997,"A700000","Line(00400)", , ,"7434", ,"7434", ,"7434"
"HOSPC","hospc_2013_DATA",33997,"A700000","Line(00700)", , ,"7434", ,"7434", ,"7434"
