"Entity[34025] Report(A000000)", , , , ,"Entity[34025] Report(A000000[0000])","Entity[34025] Report(A000000[0100])","Entity[34025] Report(A000000[0200])","Entity[34025] Report(A000000[0300])","Entity[34025] Report(A000000[0400])","Entity[34025] Report(A000000[0500])","Entity[34025] Report(A000000[0600])", ,"Entity[34025] Report(A000000[0800])","Entity[34025] Report(A000000[0900])","Entity[34025] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"3000","3000", ,"3000", ,"3000"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"822","822", ,"822", ,"822"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"3692","3692", ,"3692", ,"3692"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , ,"20962", , ,"20962", ,"20962", ,"20962"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","4017","848", , , ,"4865", ,"4865", ,"4865"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","105899","22345", , ,"45769","174013", ,"174013","5033","179046"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","99713","21039","474","3457","20045","144728", ,"144728", ,"144728"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"12499", ,"12499", ,"12499", ,"12499"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01600)","1600NURSING CARE","93173","19658", , , ,"112831", ,"112831", ,"112831"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , , ,"7922","7922", ,"7922", ,"7922"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"157", ,"157", ,"157", ,"157"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","22041","4651", , , ,"26692", ,"26692", ,"26692"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","4194","885", , , ,"5079", ,"5079", ,"5079"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(02200)","2200DIETARY COUNSELING", , , , ,"1631","1631", ,"1631", ,"1631"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","31806","6711", , , ,"38517", ,"38517", ,"38517"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"15411", ,"15411", ,"15411", ,"15411"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"26661", ,"26661", ,"26661", ,"26661"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"1359", ,"1359", ,"1359", ,"1359"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"1259", ,"1259", ,"1259", ,"1259"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"333","4453","4786", ,"4786", ,"4786"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , ,"931","931", ,"931", ,"931"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(03901)","3901NURSING HOME ROOM AND BOARD"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","5182","1093", , , ,"6275", ,"6275", ,"6275"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS"
"HOSPC","hospc_2013_DATA",34025,"A000000","Line(05301)","5301RESIDENT SERVICES","30331","6400","144", ,"6097","42972", ,"42972", ,"42972"
"Entity[34025] Report(A100000)", , , , , ,"Entity[34025] Report(A100000[0100])", ,"Entity[34025] Report(A100000[0300])", ,"Entity[34025] Report(A100000[0500])", ,"Entity[34025] Report(A100000[0700])","Entity[34025] Report(A100000[0800])","Entity[34025] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(00500)", , , , , , , , ,"4017","4017"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(00600)", ,"105899", , , , , , , ,"105899"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(01000)", , , , , , , , ,"99713","99713"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(01600)", , , , , ,"93173", , , ,"93173"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(02000)", , , ,"22041", , , , , ,"22041"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(02100)", , , , , , , , ,"4194","4194"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(02400)", , , , , , , ,"31806", ,"31806"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(05000)", , , , , , , , ,"5182","5182"
"HOSPC","hospc_2013_DATA",34025,"A100000","Line(05301)", , , , , , , , ,"30331","30331"
"Entity[34025] Report(A200000)", , , , , ,"Entity[34025] Report(A200000[0100])", ,"Entity[34025] Report(A200000[0300])", ,"Entity[34025] Report(A200000[0500])", ,"Entity[34025] Report(A200000[0700])","Entity[34025] Report(A200000[0800])","Entity[34025] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(00500)", , , , , , , , ,"848","848"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(00600)", ,"22345", , , , , , , ,"22345"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(01000)", , , , , , , , ,"21039","21039"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(01600)", , , , , ,"19658", , , ,"19658"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(02000)", , , ,"4651", , , , , ,"4651"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(02100)", , , ,"885", , , , , ,"885"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(02400)", , , , , , , ,"6711", ,"6711"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(05000)", , , , , , , , ,"1093","1093"
"HOSPC","hospc_2013_DATA",34025,"A200000","Line(05301)", , , , , , , , ,"6400","6400"
"Entity[34025] Report(A300000)", , , , , , ,"Entity[34025] Report(A300000[0200])", , , , , ,"Entity[34025] Report(A300000[0800])","Entity[34025] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(01000)", , , , , , , , ,"3457","3457"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(01500)", , ,"12499", , , , , , ,"12499"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(01800)", , , , , , , , ,"157","157"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(03000)", , , , , , , , ,"15411","15411"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(03100)", , , , , , , , ,"26661","26661"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(03200)", , , , , , , , ,"1359","1359"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(03300)", , , , , , , , ,"1259","1259"
"HOSPC","hospc_2013_DATA",34025,"A300000","Line(03400)", , , , , , , , ,"333","333"
"Entity[34025] Report(A700000)", , , , , ,"Entity[34025] Report(A700000[0100])","Entity[34025] Report(A700000[0200])", ,"Entity[34025] Report(A700000[0400])", ,"Entity[34025] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34025,"A700000","Line(00100)", ,"72314", , , , ,"72314"
"HOSPC","hospc_2013_DATA",34025,"A700000","Line(00300)", ,"3959855","5850", ,"5850", ,"3965705"
"HOSPC","hospc_2013_DATA",34025,"A700000","Line(00500)", ,"338495", , , , ,"338495"
"HOSPC","hospc_2013_DATA",34025,"A700000","Line(00600)", ,"208208","8006", ,"8006", ,"216214"
"HOSPC","hospc_2013_DATA",34025,"A700000","Line(00700)", ,"4578872","13856", ,"13856", ,"4592728"
"Entity[34025] Report(A800000)", , , , ,"Entity[34025] Report(A800000[0000])","Entity[34025] Report(A800000[0100])","Entity[34025] Report(A800000[0200])","Entity[34025] Report(A800000[0300])","Entity[34025] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34025,"A800000","Line(00600)", ,"A","5138","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34025,"A800000","Line(00800)","LOBBYING EXPENSE","A","-105","ADMINISTRATIVE AND GENERAL","6"
"Entity[34025] Report(A81000A)", , , , , ,"Entity[34025] Report(A81000A[0100])","Entity[34025] Report(A81000A[0200])","Entity[34025] Report(A81000A[0300])","Entity[34025] Report(A81000A[0400])","Entity[34025] Report(A81000A[0500])"
"HOSPC","hospc_2013_DATA",34025,"A81000A","Line(00100)", ,"6","ADMINISTRATIVE AND GENERAL","A&G COST - MGMT AGREEMENT","1850","1850"
"HOSPC","hospc_2013_DATA",34025,"A81000A","Line(00200)", ,"18","OCCUPATIONAL THERAPY","OCCUPATIONAL THERAPY","157","157"
"Entity[34025] Report(A81000B)", , , , , ,"Entity[34025] Report(A81000B[0100])","Entity[34025] Report(A81000B[0200])","Entity[34025] Report(A81000B[0300])", , ,"Entity[34025] Report(A81000B[0600])"
