"Entity[34031] Report(A000000)", , , , ,"Entity[34031] Report(A000000[0000])","Entity[34031] Report(A000000[0100])","Entity[34031] Report(A000000[0200])","Entity[34031] Report(A000000[0300])","Entity[34031] Report(A000000[0400])","Entity[34031] Report(A000000[0500])","Entity[34031] Report(A000000[0600])", ,"Entity[34031] Report(A000000[0800])", ,"Entity[34031] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"661023","661023", ,"661023", ,"661023"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"227468","227468", ,"227468", ,"227468"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , ,"54620", , ,"54620", ,"54620", ,"54620"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","21896","2398", , , ,"24294", ,"24294", ,"24294"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","620626","51790", , , ,"672416", ,"672416", ,"672416"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"32314", ,"32314", ,"32314", ,"32314"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01600)","1600NURSING CARE","935496","82697", , , ,"1018193", ,"1018193", ,"1018193"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","61575","5202", , , ,"66777", ,"66777", ,"66777"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","54630","5023", , , ,"59653", ,"59653", ,"59653"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","519154","48890", , , ,"568044", ,"568044", ,"568044"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03030)","3030ANALGESICS", , , ,"50152", ,"50152", ,"50152", ,"50152"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"38352", ,"38352", ,"38352", ,"38352"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03032)","3032OTHER - SPECIFY", , , ,"29501", ,"29501", ,"29501", ,"29501"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"177008", ,"177008", ,"177008", ,"177008"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"19765", ,"19765", ,"19765", ,"19765"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"185", ,"185", ,"185", ,"185"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",34031,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , ,"930932", ,"930932", ,"930932", ,"930932"
"Entity[34031] Report(A100000)", , , , , ,"Entity[34031] Report(A100000[0100])", ,"Entity[34031] Report(A100000[0300])", ,"Entity[34031] Report(A100000[0500])", ,"Entity[34031] Report(A100000[0700])","Entity[34031] Report(A100000[0800])","Entity[34031] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34031,"A100000","Line(00500)", , , , , , , , ,"21896","21896"
"HOSPC","hospc_2013_DATA",34031,"A100000","Line(00600)", ,"620626", , , , , , , ,"620626"
"HOSPC","hospc_2013_DATA",34031,"A100000","Line(01600)", , , , , ,"935496", , , ,"935496"
"HOSPC","hospc_2013_DATA",34031,"A100000","Line(02000)", , , ,"61575", , , , , ,"61575"
"HOSPC","hospc_2013_DATA",34031,"A100000","Line(02100)", , , , , , , , ,"54630","54630"
"HOSPC","hospc_2013_DATA",34031,"A100000","Line(02400)", , , , , , , ,"519154", ,"519154"
"Entity[34031] Report(A200000)", , , , , ,"Entity[34031] Report(A200000[0100])", ,"Entity[34031] Report(A200000[0300])", ,"Entity[34031] Report(A200000[0500])", ,"Entity[34031] Report(A200000[0700])","Entity[34031] Report(A200000[0800])","Entity[34031] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34031,"A200000","Line(00500)", , , , , , , , ,"2398","2398"
"HOSPC","hospc_2013_DATA",34031,"A200000","Line(00600)", ,"51790", , , , , , , ,"51790"
"HOSPC","hospc_2013_DATA",34031,"A200000","Line(01600)", , , , , ,"82697", , , ,"82697"
"HOSPC","hospc_2013_DATA",34031,"A200000","Line(02000)", , , ,"5202", , , , , ,"5202"
"HOSPC","hospc_2013_DATA",34031,"A200000","Line(02100)", , , , , , , , ,"5023","5023"
"HOSPC","hospc_2013_DATA",34031,"A200000","Line(02400)", , , , , , , ,"48890", ,"48890"
"Entity[34031] Report(A300000)", , , , , ,"Entity[34031] Report(A300000[0100])","Entity[34031] Report(A300000[0200])", , , , , , ,"Entity[34031] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(01500)", , ,"32314", , , , , , ,"32314"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(03030)", ,"50152", , , , , , , ,"50152"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(03031)", ,"38352", , , , , , , ,"38352"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(03032)", ,"29501", , , , , , , ,"29501"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(03100)", ,"177008", , , , , , , ,"177008"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(03200)", ,"19765", , , , , , , ,"19765"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(03400)", ,"185", , , , , , , ,"185"
"HOSPC","hospc_2013_DATA",34031,"A300000","Line(05300)", ,"930932", , , , , , , ,"930932"
