"Entity[34041] Report(A000000)", , , , ,"Entity[34041] Report(A000000[0000])","Entity[34041] Report(A000000[0100])","Entity[34041] Report(A000000[0200])","Entity[34041] Report(A000000[0300])","Entity[34041] Report(A000000[0400])","Entity[34041] Report(A000000[0500])","Entity[34041] Report(A000000[0600])","Entity[34041] Report(A000000[0700])","Entity[34041] Report(A000000[0800])","Entity[34041] Report(A000000[0900])","Entity[34041] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"297068","297068", ,"297068", ,"297068"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"27361","27361", ,"27361", ,"27361"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"142242","142242", ,"142242", ,"142242"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","37956","8432", , ,"127","46515", ,"46515", ,"46515"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","871843","193682","7674","27129","367125","1467453","-367","1467086","-68928","1398158"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","803469","178494", ,"366978","18027","1366968", ,"1366968", ,"1366968"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01500)","1500PHYSICIAN SERVICES","166226","36928", ,"60555","1843","265552", ,"265552", ,"265552"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01600)","1600NURSING CARE","824569","183180","47299", ,"19411","1074459", ,"1074459", ,"1074459"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"8635", ,"8635", ,"8635", ,"8635"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","247002","54872","16060", ,"8053","325987", ,"325987", ,"325987"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","95353","21183","6979", ,"2418","125933", ,"125933", ,"125933"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","280185","62244","59616", ,"9575","411620", ,"411620", ,"411620"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03030)","3030ANALGESICS", , , ,"163204", ,"163204", ,"163204", ,"163204"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"29709", ,"29709", ,"29709", ,"29709"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03032)","3032OTHER - SPECIFY", , , ,"147182", ,"147182", ,"147182", ,"147182"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"209370", ,"209370", ,"209370", ,"209370"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"72311", ,"72311", ,"72311", ,"72311"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"2958", ,"2958", ,"2958", ,"2958"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"5263", ,"5263", ,"5263", ,"5263"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"51223", ,"51223", ,"51223", ,"51223"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"36703", ,"36703", ,"36703", ,"36703"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"649", ,"649", ,"649", ,"649"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","117394","26079","3546", ,"24831","171850", ,"171850", ,"171850"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , ,"2123", ,"4823","6946", ,"6946", ,"6946"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(05200)","5200FUNDRAISING","28759","6389","1496", ,"53430","90074", ,"90074", ,"90074"
"HOSPC","hospc_2013_DATA",34041,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","285430","63409","12919","996770","138576","1497104","367","1497471","-995864","501607"
"Entity[34041] Report(A100000)", , , , , ,"Entity[34041] Report(A100000[0100])","Entity[34041] Report(A100000[0200])","Entity[34041] Report(A100000[0300])","Entity[34041] Report(A100000[0400])","Entity[34041] Report(A100000[0500])", ,"Entity[34041] Report(A100000[0700])","Entity[34041] Report(A100000[0800])","Entity[34041] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(00500)", , ,"37956", , , , , , ,"37956"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(00600)", ,"96192", ,"39580","75280","60545", , ,"600246","871843"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(01000)", , , ,"47547", ,"522346", ,"233576", ,"803469"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(01500)", , ,"166226", , , , , , ,"166226"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(01600)", , ,"128558", ,"25458","670553", , , ,"824569"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(02000)", , ,"52153","194849", , , , , ,"247002"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(02100)", , , , , , , , ,"95353","95353"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(02400)", , , , , , , ,"280185", ,"280185"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(05000)", , ,"117394", , , , , , ,"117394"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(05200)", , ,"28759", , , , , , ,"28759"
"HOSPC","hospc_2013_DATA",34041,"A100000","Line(05300)", , , , , , , , ,"285430","285430"
"Entity[34041] Report(A200000)", , , , , ,"Entity[34041] Report(A200000[0100])","Entity[34041] Report(A200000[0200])","Entity[34041] Report(A200000[0300])","Entity[34041] Report(A200000[0400])","Entity[34041] Report(A200000[0500])", ,"Entity[34041] Report(A200000[0700])","Entity[34041] Report(A200000[0800])","Entity[34041] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(00500)", , ,"8432", , , , , , ,"8432"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(00600)", ,"21369", ,"8793","16724","13450", , ,"133346","193682"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(01000)", , , ,"10563", ,"116041", ,"51890", ,"178494"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(01500)", , ,"36928", , , , , , ,"36928"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(01600)", , ,"28559", ,"5656","148965", , , ,"183180"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(02000)", , ,"11586","43286", , , , , ,"54872"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(02100)", , , , , , , , ,"21183","21183"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(02400)", , , , , , , ,"62244", ,"62244"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(05000)", , ,"26079", , , , , , ,"26079"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(05200)", , ,"6389", , , , , , ,"6389"
"HOSPC","hospc_2013_DATA",34041,"A200000","Line(05300)", , , , , , , , ,"63409","63409"
"Entity[34041] Report(A300000)", , , , , , ,"Entity[34041] Report(A300000[0200])", , , ,"Entity[34041] Report(A300000[0600])", ,"Entity[34041] Report(A300000[0800])","Entity[34041] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(00600)", , , , , , , , ,"27129","27129"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(01000)", , ,"31750", , , , , ,"335228","366978"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(01500)", , , , , , , , ,"60555","60555"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(01700)", , , , , , ,"8635", , ,"8635"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03030)", , , , , , , , ,"163204","163204"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03031)", , , , , , , , ,"29709","29709"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03032)", , , , , , , , ,"147182","147182"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03100)", , , , , , , , ,"209370","209370"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03200)", , , , , , , , ,"72311","72311"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03300)", , , , , , , , ,"2958","2958"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03400)", , , , , , , , ,"5263","5263"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03500)", , , , , , , , ,"51223","51223"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03600)", , , , , , , , ,"36703","36703"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(03900)", , , , , , , , ,"649","649"
"HOSPC","hospc_2013_DATA",34041,"A300000","Line(05300)", , , , , , , , ,"996770","996770"
"Entity[34041] Report(A600010)", , , , ,"Entity[34041] Report(A600010[0000])","Entity[34041] Report(A600010[0100])","Entity[34041] Report(A600010[0200])","Entity[34041] Report(A600010[0300])", ,"Entity[34041] Report(A600010[0500])","Entity[34041] Report(A600010[0600])","Entity[34041] Report(A600010[0700])", ,"Entity[34041] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",34041,"A600010","Line(00100)","ASSOCIATION_DUES_ALLOCABLE_TO_LOBBYI","A","OTHER NONREIMBURSABLE COSTS","53", ,"367","ADMINISTRATIVE AND GENERAL","6", ,"367"
"Entity[34041] Report(A700000)", , , , , ,"Entity[34041] Report(A700000[0100])","Entity[34041] Report(A700000[0200])", ,"Entity[34041] Report(A700000[0400])","Entity[34041] Report(A700000[0500])","Entity[34041] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34041,"A700000","Line(00100)", ,"689571", , , , ,"689571"
"HOSPC","hospc_2013_DATA",34041,"A700000","Line(00200)", ,"144661", , , , ,"144661"
"HOSPC","hospc_2013_DATA",34041,"A700000","Line(00300)", ,"4430041","14386", ,"14386", ,"4444427"
"HOSPC","hospc_2013_DATA",34041,"A700000","Line(00500)", ,"759179","73255", ,"73255","10579","821855"
"HOSPC","hospc_2013_DATA",34041,"A700000","Line(00600)", ,"81206", , , , ,"81206"
"HOSPC","hospc_2013_DATA",34041,"A700000","Line(00700)", ,"6104658","87641", ,"87641","10579","6181720"
"Entity[34041] Report(A800000)", , , , ,"Entity[34041] Report(A800000[0000])","Entity[34041] Report(A800000[0100])","Entity[34041] Report(A800000[0200])","Entity[34041] Report(A800000[0300])","Entity[34041] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34041,"A800000","Line(00100)", ,"B","-13294","ADMINISTRATIVE AND GENERAL","6"
