"Entity[34047] Report(A000000)", , , , ,"Entity[34047] Report(A000000[0000])","Entity[34047] Report(A000000[0100])","Entity[34047] Report(A000000[0200])","Entity[34047] Report(A000000[0300])","Entity[34047] Report(A000000[0400])","Entity[34047] Report(A000000[0500])","Entity[34047] Report(A000000[0600])", ,"Entity[34047] Report(A000000[0800])","Entity[34047] Report(A000000[0900])","Entity[34047] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"51547","51547", ,"51547", ,"51547"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00101)","0101CAPITAL REL COSTS-BLDG & FIXT", , , , ,"476872","476872", ,"476872", ,"476872"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"13627","13627", ,"13627", ,"13627"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00201)","0201CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"26158","26158", ,"26158", ,"26158"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"14411","14411", ,"14411", ,"14411"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00301)","0301PLANT OPERATION AND MAINTENANCE", , , , ,"226626","226626", ,"226626", ,"226626"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","96963","22948","1889","14148", ,"135948", ,"135948", ,"135948"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","1209611","426081","8898","1224907","905445","3774942", ,"3774942","-93687","3681255"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , , ,"1535998","1535998", ,"1535998", ,"1535998"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , , ,"3372","3372", ,"3372", ,"3372"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(01500)","1500PHYSICIAN SERVICES","624216","37221","18516", , ,"679953", ,"679953", ,"679953"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(01600)","1600NURSING CARE","1772690","313088","106043","30358", ,"2222179", ,"2222179","-5359","2216820"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"1375", ,"1375", ,"1375", ,"1375"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY","55941","14288","5295", , ,"75524", ,"75524", ,"75524"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","539220","111319","28741", , ,"679280", ,"679280", ,"679280"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","265057","42397","15632", , ,"323086", ,"323086", ,"323086"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(02300)","2300COUNSELING - OTHER"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","496133","92999","73718","4158", ,"667008", ,"667008","-33453","633555"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"659876","659876", ,"659876", ,"659876"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"564007","564007", ,"564007", ,"564007"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , ,"29633","29633", ,"29633", ,"29633"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"3993","3993", ,"3993", ,"3993"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"17225","17225", ,"17225", ,"17225"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COSTS"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","216648","28620","6154", , ,"251422", ,"251422", ,"251422"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"3125","3125", ,"3125", ,"3125"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(05200)","5200FUNDRAISING", , , ,"231255","36622","267877", ,"267877", ,"267877"
"HOSPC","hospc_2013_DATA",34047,"A000000","Line(05300)","5300OTHER PROGRAM COSTS","1326060","189682","244", ,"266186","1782172", ,"1782172", ,"1782172"
"Entity[34047] Report(A100000)", , , , , , ,"Entity[34047] Report(A100000[0200])","Entity[34047] Report(A100000[0300])", ,"Entity[34047] Report(A100000[0500])","Entity[34047] Report(A100000[0600])","Entity[34047] Report(A100000[0700])","Entity[34047] Report(A100000[0800])","Entity[34047] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(00500)", , , , , , , , ,"96963","96963"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(00600)", , ,"93491", , , , , ,"1116120","1209611"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(01500)", , , , , , , , ,"624216","624216"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(01600)", , , , , ,"1772690", , , ,"1772690"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(01900)", , , , , , ,"55941", , ,"55941"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(02000)", , , ,"539220", , , , , ,"539220"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(02100)", , , , , , , , ,"265057","265057"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(02400)", , , , , , , ,"496133", ,"496133"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(05000)", , , , , , , , ,"216648","216648"
"HOSPC","hospc_2013_DATA",34047,"A100000","Line(05300)", , , ,"56319", ,"890524", ,"255378","123839","1326060"
"Entity[34047] Report(A200000)", , , , , , , ,"Entity[34047] Report(A200000[0300])", ,"Entity[34047] Report(A200000[0500])","Entity[34047] Report(A200000[0600])","Entity[34047] Report(A200000[0700])","Entity[34047] Report(A200000[0800])","Entity[34047] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(00500)", , , , , , , , ,"22948","22948"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(00600)", , , , , , , , ,"426081","426081"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(01500)", , , , , , , , ,"37221","37221"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(01600)", , , , , ,"313088", , , ,"313088"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(01900)", , , , , , ,"14288", , ,"14288"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(02000)", , , ,"111319", , , , , ,"111319"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(02100)", , , , , , , , ,"42397","42397"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(02400)", , , , , , , ,"92999", ,"92999"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(05000)", , , , , , , , ,"28620","28620"
"HOSPC","hospc_2013_DATA",34047,"A200000","Line(05300)", , , ,"18009", ,"123236", ,"38964","9473","189682"
"Entity[34047] Report(A300000)", , , , , , , , , ,"Entity[34047] Report(A300000[0500])","Entity[34047] Report(A300000[0600])","Entity[34047] Report(A300000[0700])","Entity[34047] Report(A300000[0800])","Entity[34047] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34047,"A300000","Line(00500)", , , , , , , , ,"14148","14148"
"HOSPC","hospc_2013_DATA",34047,"A300000","Line(00600)", , , , , , , , ,"1224907","1224907"
"HOSPC","hospc_2013_DATA",34047,"A300000","Line(01600)", , , , , ,"30358", , , ,"30358"
"HOSPC","hospc_2013_DATA",34047,"A300000","Line(01700)", , , , , , ,"1375", , ,"1375"
"HOSPC","hospc_2013_DATA",34047,"A300000","Line(02400)", , , , , , , ,"4158", ,"4158"
"HOSPC","hospc_2013_DATA",34047,"A300000","Line(05200)", , , , , , , , ,"231255","231255"
"Entity[34047] Report(A700000)", , , , , ,"Entity[34047] Report(A700000[0100])","Entity[34047] Report(A700000[0200])", ,"Entity[34047] Report(A700000[0400])", ,"Entity[34047] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34047,"A700000","Line(00100)", ,"1070419", , , , ,"1070419"
"HOSPC","hospc_2013_DATA",34047,"A700000","Line(00600)", ,"9272477","2408672", ,"2408672", ,"11681149"
"HOSPC","hospc_2013_DATA",34047,"A700000","Line(00700)", ,"10342896","2408672", ,"2408672", ,"12751568"
"Entity[34047] Report(A800000)", , , , ,"Entity[34047] Report(A800000[0000])","Entity[34047] Report(A800000[0100])","Entity[34047] Report(A800000[0200])","Entity[34047] Report(A800000[0300])","Entity[34047] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34047,"A800000","Line(00300)", , ,"-75337"
"HOSPC","hospc_2013_DATA",34047,"A800000","Line(00800)","INVESTMENT INCOME","B","-18350","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34047,"A800000","Line(00810)","NURSING","A","-5359","NURSING CARE","16"
"HOSPC","hospc_2013_DATA",34047,"A800000","Line(00815)","SPIRITUAL COUNSELING","B","-33453","HOME HEALTH AIDE AND HOMEMAKER","24"
"Entity[34047] Report(A81000A)", , , , , ,"Entity[34047] Report(A81000A[0100])","Entity[34047] Report(A81000A[0200])","Entity[34047] Report(A81000A[0300])","Entity[34047] Report(A81000A[0400])","Entity[34047] Report(A81000A[0500])","Entity[34047] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",34047,"A81000A","Line(00100)", ,"6","ADMINISTRATIVE AND GENERAL","ADMIN SERVICES","1312505","1387842","-75337"
"HOSPC","hospc_2013_DATA",34047,"A81000A","Line(00200)", ,"6","ADMINISTRATIVE AND GENERAL","PATIENT CARE","21073","21073"
"Entity[34047] Report(A81000B)", , , , , ,"Entity[34047] Report(A81000B[0100])","Entity[34047] Report(A81000B[0200])", , , ,"Entity[34047] Report(A81000B[0600])"
"HOSPC","hospc_2013_DATA",34047,"A81000B","Line(00100)", ,"G","HOME HEALTH FOUNDATION", , , ,"MANAGEMENT"
