"Entity[34048] Report(A000000)", , , , ,"Entity[34048] Report(A000000[0000])","Entity[34048] Report(A000000[0100])","Entity[34048] Report(A000000[0200])","Entity[34048] Report(A000000[0300])","Entity[34048] Report(A000000[0400])","Entity[34048] Report(A000000[0500])","Entity[34048] Report(A000000[0600])","Entity[34048] Report(A000000[0700])","Entity[34048] Report(A000000[0800])","Entity[34048] Report(A000000[0900])","Entity[34048] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"138036","138036", ,"138036", ,"138036"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"63657","63657", ,"63657", ,"63657"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","52009","8508", , ,"1646","62163", ,"62163", ,"62163"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","541739","88622","12377", ,"121884","764622","-45","764577","-8433","756144"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"186454", ,"186454", ,"186454", ,"186454"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"3947", ,"3947", ,"3947", ,"3947"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"53359", ,"53359", ,"53359", ,"53359"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01600)","1600NURSING CARE","626407","102473","44276", ,"21233","794389","-37614","756775", ,"756775"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C", , , ,"150458", ,"150458", ,"150458", ,"150458"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"225", ,"225", ,"225", ,"225"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","93891","15360","6089", ,"1282","116622", ,"116622", ,"116622"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","48421","7921","4240", ,"756","61338", ,"61338", ,"61338"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","118688","19416","24775", ,"6205","169084","37614","206698", ,"206698"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"209242", ,"209242", ,"209242", ,"209242"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03030)","3030ANALGESICS", , , ,"3084", ,"3084", ,"3084", ,"3084"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"20", ,"20", ,"20", ,"20"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"124706", ,"124706", ,"124706", ,"124706"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"4374", ,"4374", ,"4374", ,"4374"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03300)","3300IMAGING SERVICES"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"3422", ,"3422", ,"3422", ,"3422"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"45556", ,"45556", ,"45556", ,"45556"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"554", ,"554", ,"554", ,"554"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"2921", ,"2921", ,"2921", ,"2921"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","76263","12476","1722", ,"1250","91711", ,"91711", ,"91711"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , ,"54", ,"258","312", ,"312", ,"312"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(05200)","5200FUNDRAISING", , , , ,"4","4", ,"4", ,"4"
"HOSPC","hospc_2013_DATA",34048,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","67963","11118","125","684468","25817","789491","45","789536","-684468","105068"
"Entity[34048] Report(A100000)", , , , , , , ,"Entity[34048] Report(A100000[0300])","Entity[34048] Report(A100000[0400])","Entity[34048] Report(A100000[0500])","Entity[34048] Report(A100000[0600])","Entity[34048] Report(A100000[0700])","Entity[34048] Report(A100000[0800])","Entity[34048] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(00500)", , , , , , , , ,"52009","52009"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(00600)", , , , ,"84629","27840", , ,"429270","541739"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(01600)", , , , ,"106424","519983", , , ,"626407"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(02000)", , , ,"93891", , , , , ,"93891"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(02100)", , , , , , , , ,"48421","48421"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(02400)", , , , , , , ,"118688", ,"118688"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(05000)", , , ,"21345", , ,"54918", , ,"76263"
"HOSPC","hospc_2013_DATA",34048,"A100000","Line(05300)", , , , , , , , ,"67963","67963"
"Entity[34048] Report(A200000)", , , , , , , ,"Entity[34048] Report(A200000[0300])","Entity[34048] Report(A200000[0400])","Entity[34048] Report(A200000[0500])","Entity[34048] Report(A200000[0600])","Entity[34048] Report(A200000[0700])","Entity[34048] Report(A200000[0800])","Entity[34048] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(00500)", , , , , , , , ,"8508","8508"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(00600)", , , , ,"13844","4554", , ,"70224","88622"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(01600)", , , , ,"17410","85063", , , ,"102473"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(02000)", , , ,"15360", , , , , ,"15360"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(02100)", , , , , , , , ,"7921","7921"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(02400)", , , , , , , ,"19416", ,"19416"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(05000)", , , ,"3492", , ,"8984", , ,"12476"
"HOSPC","hospc_2013_DATA",34048,"A200000","Line(05300)", , , , , , , , ,"11118","11118"
"Entity[34048] Report(A300000)", , , , , , ,"Entity[34048] Report(A300000[0200])", , ,"Entity[34048] Report(A300000[0500])","Entity[34048] Report(A300000[0600])", ,"Entity[34048] Report(A300000[0800])","Entity[34048] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(01000)", , , , , , , , ,"186454","186454"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(01100)", , , , , , , , ,"3947","3947"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(01500)", , ,"52000", , , , , ,"1359","53359"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(01620)", , , , , ,"150458", , , ,"150458"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(01900)", , , , , , ,"225", , ,"225"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03000)", , , , , , , , ,"209242","209242"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03030)", , , , , , , , ,"3084","3084"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03031)", , , , , , , , ,"20","20"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03100)", , , , , , , , ,"124706","124706"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03200)", , , , , , , , ,"4374","4374"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03400)", , , , , , , , ,"3422","3422"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03500)", , , , , , , , ,"45556","45556"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03600)", , , , , , , , ,"554","554"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(03900)", , , , , , , , ,"2921","2921"
"HOSPC","hospc_2013_DATA",34048,"A300000","Line(05300)", , , , , , , , ,"684468","684468"
"Entity[34048] Report(A600010)", , , , ,"Entity[34048] Report(A600010[0000])","Entity[34048] Report(A600010[0100])","Entity[34048] Report(A600010[0200])","Entity[34048] Report(A600010[0300])", ,"Entity[34048] Report(A600010[0500])","Entity[34048] Report(A600010[0600])","Entity[34048] Report(A600010[0700])", ,"Entity[34048] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",34048,"A600010","Line(00100)","ASSOCIATION_DUES_ALLOCABLE_TO_LOBBYI","A","OTHER NONREIMBURSABLE COSTS","53", ,"45","ADMINISTRATIVE AND GENERAL","6", ,"45"
"HOSPC","hospc_2013_DATA",34048,"A600010","Line(00200)","RECLASS","B","HOME HEALTH AIDE AND HOMEMAKER","24", ,"37614","NURSING CARE","16", ,"37614"
"Entity[34048] Report(A700000)", , , , , ,"Entity[34048] Report(A700000[0100])","Entity[34048] Report(A700000[0200])", ,"Entity[34048] Report(A700000[0400])","Entity[34048] Report(A700000[0500])","Entity[34048] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34048,"A700000","Line(00100)", ,"28895", , , , ,"28895"
"HOSPC","hospc_2013_DATA",34048,"A700000","Line(00300)", ,"2354328", , , ,"69572","2284756"
"HOSPC","hospc_2013_DATA",34048,"A700000","Line(00600)", ,"166439","73973", ,"73973","3886","236526"
"HOSPC","hospc_2013_DATA",34048,"A700000","Line(00700)", ,"2549662","73973", ,"73973","73458","2550177"
"Entity[34048] Report(A800000)", , , , ,"Entity[34048] Report(A800000[0000])","Entity[34048] Report(A800000[0100])","Entity[34048] Report(A800000[0200])","Entity[34048] Report(A800000[0300])","Entity[34048] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34048,"A800000","Line(00600)", ,"A","-8433","ADMINISTRATIVE AND GENERAL","6"
"HOSPC","hospc_2013_DATA",34048,"A800000","Line(00800)","MEDICAID_ROOM_AND_BOARD","A","-684468","OTHER NONREIMBURSABLE COSTS","53"
"Entity[34048] Report(A81000A)", , , , , ,"Entity[34048] Report(A81000A[0100])","Entity[34048] Report(A81000A[0200])","Entity[34048] Report(A81000A[0300])","Entity[34048] Report(A81000A[0400])","Entity[34048] Report(A81000A[0500])"
"HOSPC","hospc_2013_DATA",34048,"A81000A","Line(00100)", ,"16","NURSING CARE - CONTINUOUS HOME CARE","CONTRACT LABOR","112843","112843"
