"Entity[34059] Report(A000000)", , , , ,"Entity[34059] Report(A000000[0000])","Entity[34059] Report(A000000[0100])","Entity[34059] Report(A000000[0200])","Entity[34059] Report(A000000[0300])","Entity[34059] Report(A000000[0400])","Entity[34059] Report(A000000[0500])","Entity[34059] Report(A000000[0600])", ,"Entity[34059] Report(A000000[0800])","Entity[34059] Report(A000000[0900])","Entity[34059] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"37415","37415", ,"37415", ,"37415"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"3559","3559", ,"3559", ,"3559"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"4549","4549", ,"4549", ,"4549"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","33980","5057", , ,"2266","41303", ,"41303", ,"41303"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","62932","9366", ,"60052","37713","170063", ,"170063", ,"170063"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"32472", ,"32472", ,"32472", ,"32472"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"49500", ,"49500", ,"49500", ,"49500"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01600)","1600NURSING CARE","159095","23678","22597", ,"1603","206973", ,"206973", ,"206973"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","14970","2228","5195", ,"395","22788", ,"22788", ,"22788"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","40943","6093","5549", ,"697","53282", ,"53282", ,"53282"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","49075","7304","24191", ,"1210","81780", ,"81780", ,"81780"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"39279", ,"39279", ,"39279", ,"39279"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"27953", ,"27953", ,"27953", ,"27953"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"56", ,"56", ,"56", ,"56"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"323", ,"323", ,"323", ,"323"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"19", ,"19", ,"19", ,"19"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"15804", ,"15804", ,"15804", ,"15804"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"266", ,"266", ,"266", ,"266"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"290", ,"290", ,"290", ,"290"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","1506","224", , ,"123","1853", ,"1853", ,"1853"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , ,"3367", , ,"3367", ,"3367", ,"3367"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",34059,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","39842","5930","5644","220310","19073","290799", ,"290799","-220310","70489"
"Entity[34059] Report(A100000)", , , , , ,"Entity[34059] Report(A100000[0100])", ,"Entity[34059] Report(A100000[0300])","Entity[34059] Report(A100000[0400])","Entity[34059] Report(A100000[0500])", ,"Entity[34059] Report(A100000[0700])","Entity[34059] Report(A100000[0800])","Entity[34059] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(00500)", , , , ,"33980", , , , ,"33980"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(00600)", ,"36252", , , , , , ,"26680","62932"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(01600)", , , , ,"5899","153196", , , ,"159095"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(02000)", , , ,"14970", , , , , ,"14970"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(02100)", , , , , , , , ,"40943","40943"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(02400)", , , , , , , ,"49075", ,"49075"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(05000)", , , , , , , , ,"1506","1506"
"HOSPC","hospc_2013_DATA",34059,"A100000","Line(05300)", , , , , , , , ,"39842","39842"
"Entity[34059] Report(A200000)", , , , , ,"Entity[34059] Report(A200000[0100])", ,"Entity[34059] Report(A200000[0300])","Entity[34059] Report(A200000[0400])","Entity[34059] Report(A200000[0500])", ,"Entity[34059] Report(A200000[0700])","Entity[34059] Report(A200000[0800])","Entity[34059] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(00500)", , , , ,"5057", , , , ,"5057"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(00600)", ,"5395", , , , , , ,"3971","9366"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(01600)", , , , ,"878","22800", , , ,"23678"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(02000)", , , ,"2228", , , , , ,"2228"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(02100)", , , , , , , , ,"6093","6093"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(02400)", , , , , , , ,"7304", ,"7304"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(05000)", , , , , , , , ,"224","224"
"HOSPC","hospc_2013_DATA",34059,"A200000","Line(05300)", , , , , , , , ,"5930","5930"
"Entity[34059] Report(A300000)", , , , , ,"Entity[34059] Report(A300000[0100])","Entity[34059] Report(A300000[0200])", , , , , ,"Entity[34059] Report(A300000[0800])","Entity[34059] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(00600)", ,"58004", , , , , , ,"2048","60052"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(01000)", , , , , , , , ,"32472","32472"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(01500)", , ,"49500", , , , , , ,"49500"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03000)", , , , , , , , ,"39279","39279"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03100)", , , , , , , , ,"27953","27953"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03200)", , , , , , , , ,"56","56"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03300)", , , , , , , , ,"323","323"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03400)", , , , , , , , ,"19","19"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03500)", , , , , , , , ,"15804","15804"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03600)", , , , , , , , ,"266","266"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(03900)", , , , , , , , ,"290","290"
"HOSPC","hospc_2013_DATA",34059,"A300000","Line(05300)", , , , , , , , ,"220310","220310"
"Entity[34059] Report(A800000)", , , , ,"Entity[34059] Report(A800000[0000])","Entity[34059] Report(A800000[0100])","Entity[34059] Report(A800000[0200])","Entity[34059] Report(A800000[0300])","Entity[34059] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34059,"A800000","Line(00800)","MEDICAID_ROOM_AND_BOARD","A","-220310","OTHER NONREIMBURSABLE COSTS","53"
