"Entity[34066] Report(A000000)", , , , ,"Entity[34066] Report(A000000[0000])","Entity[34066] Report(A000000[0100])","Entity[34066] Report(A000000[0200])","Entity[34066] Report(A000000[0300])","Entity[34066] Report(A000000[0400])","Entity[34066] Report(A000000[0500])","Entity[34066] Report(A000000[0600])","Entity[34066] Report(A000000[0700])","Entity[34066] Report(A000000[0800])","Entity[34066] Report(A000000[0900])","Entity[34066] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"290481","290481", ,"290481", ,"290481"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"36758","36758", ,"36758", ,"36758"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE","21937","6948","1993","12571","90243","133692", ,"133692", ,"133692"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","42542","13475","1133", ,"988","58138", ,"58138", ,"58138"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","702676","222568","30982","150665","1573076","2679967","-1282","2678685","-1398684","1280001"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","519917","164681","570","129982","1569","816719", ,"816719", ,"816719"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"4625", ,"4625", ,"4625", ,"4625"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01500)","1500PHYSICIAN SERVICES","112853","35745","1524","4590","5301","160013", ,"160013", ,"160013"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01600)","1600NURSING CARE","685314","217070","57663", ,"1260","961307", ,"961307", ,"961307"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C","57981","18365","3761", ,"750","80857", ,"80857", ,"80857"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"2150", ,"2150", ,"2150", ,"2150"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"1233", ,"1233", ,"1233", ,"1233"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","144884","45891","9022", , ,"199797", ,"199797", ,"199797"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","69605","22047","8085", , ,"99737", ,"99737", ,"99737"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","167404","53024","32972", ,"905","254305", ,"254305", ,"254305"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"223279", ,"223279", ,"223279", ,"223279"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"233527", ,"233527", ,"233527", ,"233527"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"22873", ,"22873", ,"22873", ,"22873"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"2810", ,"2810", ,"2810", ,"2810"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"10737", ,"10737", ,"10737", ,"10737"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"45013", ,"45013", ,"45013", ,"45013"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"9824", ,"9824", ,"9824", ,"9824"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03700)","3700RADIATION THERAPY", , , ,"11236", ,"11236", ,"11236", ,"11236"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","90978","28817","1322", ,"8309","129426", ,"129426", ,"129426"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"5764","5764", ,"5764", ,"5764"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",34066,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","77820","24649","6259","1307436","18851","1435015","1282","1436297","-1307436","128861"
"Entity[34066] Report(A100000)", , , , , ,"Entity[34066] Report(A100000[0100])","Entity[34066] Report(A100000[0200])","Entity[34066] Report(A100000[0300])","Entity[34066] Report(A100000[0400])","Entity[34066] Report(A100000[0500])", ,"Entity[34066] Report(A100000[0700])","Entity[34066] Report(A100000[0800])","Entity[34066] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(00300)", , , , , , , , ,"21937","21937"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(00500)", , ,"18267", ,"24275", , , , ,"42542"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(00600)", ,"95282","106736","52646", ,"154055", , ,"293957","702676"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(01000)", , ,"46811","45853","59826","241474", ,"123124","2829","519917"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(01500)", , ,"106920", , , , , ,"5933","112853"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(01600)", , , , ,"112446","572868", , , ,"685314"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(01620)", , , , ,"4486","53495", , , ,"57981"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(02000)", , , ,"144884", , , , , ,"144884"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(02100)", , , , , , , , ,"69605","69605"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(02400)", , , , , , , ,"167404", ,"167404"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(05000)", , ,"16451", , , , , ,"74527","90978"
"HOSPC","hospc_2013_DATA",34066,"A100000","Line(05300)", , ,"32639", , , , , ,"45181","77820"
"Entity[34066] Report(A200000)", , , , , ,"Entity[34066] Report(A200000[0100])","Entity[34066] Report(A200000[0200])","Entity[34066] Report(A200000[0300])","Entity[34066] Report(A200000[0400])","Entity[34066] Report(A200000[0500])", ,"Entity[34066] Report(A200000[0700])","Entity[34066] Report(A200000[0800])","Entity[34066] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(00300)", , , , , , , , ,"6948","6948"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(00500)", , ,"5786", ,"7689", , , , ,"13475"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(00600)", ,"30180","33808","16675", ,"48796", , ,"93109","222568"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(01000)", , ,"14827","14524","18950","76485", ,"38999","896","164681"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(01500)", , ,"33866", , , , , ,"1879","35745"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(01600)", , , , ,"35617","181453", , , ,"217070"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(01620)", , , , ,"1421","16944", , , ,"18365"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(02000)", , , ,"45891", , , , , ,"45891"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(02100)", , , , , , , , ,"22047","22047"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(02400)", , , , , , , ,"53024", ,"53024"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(05000)", , ,"5211", , , , , ,"23606","28817"
"HOSPC","hospc_2013_DATA",34066,"A200000","Line(05300)", , ,"10338", , , , , ,"14311","24649"
"Entity[34066] Report(A300000)", , , , , , , , , , ,"Entity[34066] Report(A300000[0600])", ,"Entity[34066] Report(A300000[0800])","Entity[34066] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(00300)", , , , , , , , ,"12571","12571"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(00600)", , , , , , , , ,"150665","150665"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(01000)", , , , , , , , ,"129982","129982"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(01100)", , , , , , , , ,"4625","4625"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(01500)", , , , , , , , ,"4590","4590"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(01700)", , , , , , ,"2150", , ,"2150"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(01900)", , , , , , ,"1233", , ,"1233"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03000)", , , , , , , , ,"223279","223279"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03100)", , , , , , , , ,"233527","233527"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03200)", , , , , , , , ,"22873","22873"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03300)", , , , , , , , ,"2810","2810"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03400)", , , , , , , , ,"10737","10737"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03500)", , , , , , , , ,"45013","45013"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03600)", , , , , , , , ,"9824","9824"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(03700)", , , , , , , , ,"11236","11236"
"HOSPC","hospc_2013_DATA",34066,"A300000","Line(05300)", , , , , , , , ,"1307436","1307436"
"Entity[34066] Report(A600010)", , , , ,"Entity[34066] Report(A600010[0000])","Entity[34066] Report(A600010[0100])","Entity[34066] Report(A600010[0200])","Entity[34066] Report(A600010[0300])", ,"Entity[34066] Report(A600010[0500])","Entity[34066] Report(A600010[0600])","Entity[34066] Report(A600010[0700])", ,"Entity[34066] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",34066,"A600010","Line(00100)","ASSOCIATION_DUES_ALLOCABLE_TO_LOBBYI","A","OTHER NONREIMBURSABLE COSTS","53", ,"1282","ADMINISTRATIVE AND GENERAL","6", ,"1282"
"Entity[34066] Report(A700000)", , , , , ,"Entity[34066] Report(A700000[0100])","Entity[34066] Report(A700000[0200])", ,"Entity[34066] Report(A700000[0400])","Entity[34066] Report(A700000[0500])","Entity[34066] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34066,"A700000","Line(00100)", ,"61000", , , , ,"61000"
"HOSPC","hospc_2013_DATA",34066,"A700000","Line(00200)", ,"200962", , , , ,"200962"
"HOSPC","hospc_2013_DATA",34066,"A700000","Line(00300)", ,"7973561", , , ,"23070","7950491"
"HOSPC","hospc_2013_DATA",34066,"A700000","Line(00400)", ,"146577", , , , ,"146577"
"HOSPC","hospc_2013_DATA",34066,"A700000","Line(00500)", ,"278211","26026", ,"26026","29371","274866"
"HOSPC","hospc_2013_DATA",34066,"A700000","Line(00600)", ,"79588", , , ,"41263","38325"
