"Entity[34082] Report(A000000)", , , , ,"Entity[34082] Report(A000000[0000])","Entity[34082] Report(A000000[0100])","Entity[34082] Report(A000000[0200])","Entity[34082] Report(A000000[0300])","Entity[34082] Report(A000000[0400])","Entity[34082] Report(A000000[0500])","Entity[34082] Report(A000000[0600])","Entity[34082] Report(A000000[0700])","Entity[34082] Report(A000000[0800])","Entity[34082] Report(A000000[0900])","Entity[34082] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"188071","188071", ,"188071", ,"188071"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"62215","62215", ,"62215", ,"62215"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE","117843","24852","4513", ,"171076","318284", ,"318284", ,"318284"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","95545","20149","43", ,"85","115822", ,"115822", ,"115822"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","1828414","385596","2993","93169","1180888","3491060","-965","3490095","-606845","2883250"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE","1715388","361760","10272","1217373","159690","3464483", ,"3464483", ,"3464483"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , ,"38142", ,"38142", ,"38142", ,"38142"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"769030", ,"769030", ,"769030", ,"769030"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01600)","1600NURSING CARE","4111103","866994","245837","25520","107955","5357409", ,"5357409", ,"5357409"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C","93885","19800","12409", ,"589","126683", ,"126683", ,"126683"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"2794", ,"2794", ,"2794", ,"2794"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","635525","134026","39901", ,"5327","814779", ,"814779", ,"814779"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","479955","101218","41232", ,"3183","625588", ,"625588", ,"625588"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(02200)","2200DIETARY COUNSELING","863","182", , , ,"1045", ,"1045", ,"1045"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","691936","145923","148150", ,"2680","988689", ,"988689", ,"988689"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(02500)","2500OTHER VISITING SERVICES","1073","226", ,"8930", ,"10229", ,"10229", ,"10229"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"771031","14896","785927", ,"785927", ,"785927"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03030)","3030ANALGESICS", , , ,"271651", ,"271651", ,"271651", ,"271651"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"29797", ,"29797", ,"29797", ,"29797"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"651769", ,"651769", ,"651769", ,"651769"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"124944", ,"124944", ,"124944", ,"124944"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"36953", ,"36953", ,"36953", ,"36953"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"15753", ,"15753", ,"15753", ,"15753"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"303968", ,"303968", ,"303968", ,"303968"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"47544", ,"47544", ,"47544", ,"47544"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03700)","3700RADIATION THERAPY", , , ,"4656", ,"4656", ,"4656", ,"4656"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03800)","3800CHEMOTHERAPY", , , ,"12409", ,"12409", ,"12409", ,"12409"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"64921","6075","70996", ,"70996", ,"70996"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","153925","32462","358","4800","33132","224677", ,"224677", ,"224677"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"11459","11459", ,"11459", ,"11459"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(05200)","5200FUNDRAISING","313496","66113","351", ,"162548","542508", ,"542508", ,"542508"
"HOSPC","hospc_2013_DATA",34082,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","436713","92099","20918","1581725","559746","2691201","965","2692166","-1573525","1118641"
"Entity[34082] Report(A100000)", , , , , ,"Entity[34082] Report(A100000[0100])","Entity[34082] Report(A100000[0200])","Entity[34082] Report(A100000[0300])","Entity[34082] Report(A100000[0400])","Entity[34082] Report(A100000[0500])","Entity[34082] Report(A100000[0600])","Entity[34082] Report(A100000[0700])","Entity[34082] Report(A100000[0800])","Entity[34082] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(00300)", , , , ,"68965", , , ,"48878","117843"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(00500)", , ,"43099", , , , , ,"52446","95545"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(00600)", ,"188769","393872", ,"166096", , , ,"1079677","1828414"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(01000)", , ,"88915","62632", ,"1104289", ,"139999","319553","1715388"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(01600)", , ,"117413", ,"634726","3358964", , , ,"4111103"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(01620)", , , , , ,"93885", , , ,"93885"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(02000)", , , ,"567281","68244", , , , ,"635525"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(02100)", , , , ,"59842", , , ,"420113","479955"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(02200)", , , , , , , , ,"863","863"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(02400)", , , , , , , ,"691936", ,"691936"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(02500)", , , , , , ,"1073", , ,"1073"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(05000)", , ,"35974", ,"55517", , , ,"62434","153925"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(05200)", , ,"89104", , , , , ,"224392","313496"
"HOSPC","hospc_2013_DATA",34082,"A100000","Line(05300)", , ,"50436", ,"42462", , , ,"343815","436713"
"Entity[34082] Report(A200000)", , , , , ,"Entity[34082] Report(A200000[0100])","Entity[34082] Report(A200000[0200])","Entity[34082] Report(A200000[0300])","Entity[34082] Report(A200000[0400])","Entity[34082] Report(A200000[0500])","Entity[34082] Report(A200000[0600])","Entity[34082] Report(A200000[0700])","Entity[34082] Report(A200000[0800])","Entity[34082] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(00300)", , , , ,"14544", , , ,"10308","24852"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(00500)", , ,"9089", , , , , ,"11060","20149"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(00600)", ,"39810","83064", ,"35028", , , ,"227694","385596"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(01000)", , ,"18751","13209", ,"232885", ,"29524","67391","361760"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(01600)", , ,"24761", ,"133858","708375", , , ,"866994"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(01620)", , , , , ,"19800", , , ,"19800"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(02000)", , , ,"119634","14392", , , , ,"134026"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(02100)", , , , ,"12620", , , ,"88598","101218"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(02200)", , , , , , , , ,"182","182"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(02400)", , , , , , , ,"145923", ,"145923"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(02500)", , , , , , ,"226", , ,"226"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(05000)", , ,"7587", ,"11708", , , ,"13167","32462"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(05200)", , ,"18791", , , , , ,"47322","66113"
"HOSPC","hospc_2013_DATA",34082,"A200000","Line(05300)", , ,"10636", ,"8955", , , ,"72508","92099"
"Entity[34082] Report(A300000)", , , , , , ,"Entity[34082] Report(A300000[0200])", , ,"Entity[34082] Report(A300000[0500])","Entity[34082] Report(A300000[0600])","Entity[34082] Report(A300000[0700])","Entity[34082] Report(A300000[0800])","Entity[34082] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(00600)", , , , , , , , ,"93169","93169"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(01000)", , ,"48274", , ,"71688","1450","7405","1088556","1217373"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(01100)", , , , , , , , ,"38142","38142"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(01500)", , ,"206472", , , , , ,"562558","769030"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(01600)", , , , , ,"25520", , , ,"25520"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(01700)", , , , , , ,"2794", , ,"2794"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(02500)", , , , , , ,"8930", , ,"8930"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03000)", , , , , , , , ,"771031","771031"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03030)", , , , , , , , ,"271651","271651"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03031)", , , , , , , , ,"29797","29797"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03100)", , , , , , , , ,"651769","651769"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03200)", , , , , , , , ,"124944","124944"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03300)", , , , , , , , ,"36953","36953"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03400)", , , , , , , , ,"15753","15753"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03500)", , , , , , , , ,"303968","303968"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03600)", , , , , , , , ,"47544","47544"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03700)", , , , , , , , ,"4656","4656"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03800)", , , , , , , , ,"12409","12409"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(03900)", , , , , , , , ,"64921","64921"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(05000)", , , , , , , , ,"4800","4800"
"HOSPC","hospc_2013_DATA",34082,"A300000","Line(05300)", , , , , , , , ,"1581725","1581725"
"Entity[34082] Report(A600010)", , , , ,"Entity[34082] Report(A600010[0000])","Entity[34082] Report(A600010[0100])","Entity[34082] Report(A600010[0200])","Entity[34082] Report(A600010[0300])", ,"Entity[34082] Report(A600010[0500])","Entity[34082] Report(A600010[0600])","Entity[34082] Report(A600010[0700])", ,"Entity[34082] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",34082,"A600010","Line(00100)","ASSOCIATION_DUES_ALLOCABLE_TO_LOBBYI","A","OTHER NONREIMBURSABLE COSTS","53", ,"821","ADMINISTRATIVE AND GENERAL","6", ,"821"
