"Entity[34084] Report(A000000)", , , , ,"Entity[34084] Report(A000000[0000])","Entity[34084] Report(A000000[0100])","Entity[34084] Report(A000000[0200])","Entity[34084] Report(A000000[0300])","Entity[34084] Report(A000000[0400])","Entity[34084] Report(A000000[0500])","Entity[34084] Report(A000000[0600])", ,"Entity[34084] Report(A000000[0800])","Entity[34084] Report(A000000[0900])","Entity[34084] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"8805","8805", ,"8805", ,"8805"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"25899","25899", ,"25899", ,"25899"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(00400)","0400TRANSPORTATION-STAFF"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","165645","24959","2070", ,"110228","302902", ,"302902","202802","505704"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , , ,"325","325", ,"325", ,"325"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , , ,"3094","3094", ,"3094", ,"3094"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01500)","1500PHYSICIAN SERVICES","114741","17289","2269","148", ,"134447", ,"134447", ,"134447"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01600)","1600NURSING CARE","248791","37487","27369", , ,"313647", ,"313647", ,"313647"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01700)","1700PHYSICAL THERAPY"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","52965","7980","6226", , ,"67171", ,"67171", ,"67171"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","23150","3488","3877", , ,"30515", ,"30515", ,"30515"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(02200)","2200DIETARY COUNSELING"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","128667","19387","26539", , ,"174593", ,"174593", ,"174593"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"58447","58447", ,"58447", ,"58447"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03030)","3030ANALGESICS"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"72778","72778", ,"72778", ,"72778"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , ,"2635","2635", ,"2635", ,"2635"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03300)","3300IMAGING SERVICES", , , , ,"1500","1500", ,"1500", ,"1500"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"1990","1990", ,"1990", ,"1990"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"24257","24257", ,"24257", ,"24257"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , ,"13661","13661", ,"13661", ,"13661"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03700)","3700RADIATION THERAPY"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03800)","3800CHEMOTHERAPY"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","23647","3563","1983", , ,"29193", ,"29193", ,"29193"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS","19492","2937","2383", ,"1666","26478", ,"26478", ,"26478"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(05200)","5200FUNDRAISING"
"HOSPC","hospc_2013_DATA",34084,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","80198","12084","10219", ,"201513","304014", ,"304014", ,"304014"
"Entity[34084] Report(A100000)", , , , , ,"Entity[34084] Report(A100000[0100])","Entity[34084] Report(A100000[0200])","Entity[34084] Report(A100000[0300])","Entity[34084] Report(A100000[0400])","Entity[34084] Report(A100000[0500])", ,"Entity[34084] Report(A100000[0700])","Entity[34084] Report(A100000[0800])","Entity[34084] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(00600)", ,"24468", , ,"86921", , , ,"54256","165645"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(01500)", , ,"114741", , , , , , ,"114741"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(01600)", , , , , ,"248791", , , ,"248791"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(02000)", , , ,"52965", , , , , ,"52965"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(02100)", , , ,"23150", , , , , ,"23150"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(02400)", , , , , , , ,"128667", ,"128667"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(05000)", , , ,"23647", , , , , ,"23647"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(05100)", , , ,"19492", , , , , ,"19492"
"HOSPC","hospc_2013_DATA",34084,"A100000","Line(05300)", , , , , , , , ,"80198","80198"
"Entity[34084] Report(A200000)", , , , , ,"Entity[34084] Report(A200000[0100])","Entity[34084] Report(A200000[0200])","Entity[34084] Report(A200000[0300])","Entity[34084] Report(A200000[0400])","Entity[34084] Report(A200000[0500])", ,"Entity[34084] Report(A200000[0700])","Entity[34084] Report(A200000[0800])","Entity[34084] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(00600)", ,"3687", , ,"13097", , , ,"8175","24959"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(01500)", , ,"17289", , , , , , ,"17289"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(01600)", , , , , ,"37487", , , ,"37487"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(02000)", , , ,"7980", , , , , ,"7980"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(02100)", , , ,"3488", , , , , ,"3488"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(02400)", , , , , , , ,"19387", ,"19387"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(05000)", , , ,"3563", , , , , ,"3563"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(05100)", , , ,"2937", , , , , ,"2937"
"HOSPC","hospc_2013_DATA",34084,"A200000","Line(05300)", , , , , , , , ,"12084","12084"
"Entity[34084] Report(A300000)", , , , , , ,"Entity[34084] Report(A300000[0200])", , , , , , ,"Entity[34084] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34084,"A300000","Line(01500)", , ,"148", , , , , , ,"148"
"Entity[34084] Report(A700000)", , , , , ,"Entity[34084] Report(A700000[0100])","Entity[34084] Report(A700000[0200])", ,"Entity[34084] Report(A700000[0400])","Entity[34084] Report(A700000[0500])","Entity[34084] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34084,"A700000","Line(00500)", ,"19232", , , , ,"19232"
"HOSPC","hospc_2013_DATA",34084,"A700000","Line(00600)", ,"20705","16299", ,"16299","11781","25223"
"HOSPC","hospc_2013_DATA",34084,"A700000","Line(00700)", ,"39937","16299", ,"16299","11781","44455"
"Entity[34084] Report(A800000)", , , , , ,"Entity[34084] Report(A800000[0100])","Entity[34084] Report(A800000[0200])","Entity[34084] Report(A800000[0300])","Entity[34084] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34084,"A800000","Line(00300)", , ,"206503"
"HOSPC","hospc_2013_DATA",34084,"A800000","Line(00600)", ,"A","-3701","ADMINISTRATIVE AND GENERAL","6"
"Entity[34084] Report(A81000A)", , , , , ,"Entity[34084] Report(A81000A[0100])","Entity[34084] Report(A81000A[0200])","Entity[34084] Report(A81000A[0300])","Entity[34084] Report(A81000A[0400])", ,"Entity[34084] Report(A81000A[0600])"
"HOSPC","hospc_2013_DATA",34084,"A81000A","Line(00100)", ,"6","ADMINISTRATIVE AND GENERAL","ADMINISTRATIVE AND GENERAL HOME OFFI","206503", ,"206503"
"Entity[34084] Report(A81000B)", , , , , ,"Entity[34084] Report(A81000B[0100])","Entity[34084] Report(A81000B[0200])","Entity[34084] Report(A81000B[0300])"
