"Entity[34111] Report(A000000)", , , , ,"Entity[34111] Report(A000000[0000])","Entity[34111] Report(A000000[0100])","Entity[34111] Report(A000000[0200])","Entity[34111] Report(A000000[0300])","Entity[34111] Report(A000000[0400])","Entity[34111] Report(A000000[0500])","Entity[34111] Report(A000000[0600])","Entity[34111] Report(A000000[0700])","Entity[34111] Report(A000000[0800])","Entity[34111] Report(A000000[0900])","Entity[34111] Report(A000000[1000])"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(00100)","0100CAP REL COSTS-BLDG & FIXT", , , , ,"21689","21689", ,"21689", ,"21689"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(00200)","0200CAP REL COSTS-MVBLE EQUIP", , , , ,"42149","42149", ,"42149", ,"42149"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"150744","150744", ,"150744", ,"150744"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(00500)","0500VOLUNTEER SERVICES","82411","21312","170", ,"17680","121573", ,"121573", ,"121573"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(00600)","0600ADMINISTRATIVE & GENERAL","2042508","528199","42571", ,"901329","3514607","-1589","3513018","-45191","3467827"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01000)","1000INPATIENT-GENERAL CARE", , , ,"173175", ,"173175", ,"173175", ,"173175"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01100)","1100INPATIENT-RESPITE CARE", , , ,"16939", ,"16939", ,"16939", ,"16939"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01500)","1500PHYSICIAN SERVICES","310414","80274", ,"157444","18714","566846", ,"566846", ,"566846"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01600)","1600NURSING CARE","1804399","466623","104420","422","19058","2394922", ,"2394922", ,"2394922"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01620)","1620NURSING CARE--CONTINUOUS HOME CA"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"7152", ,"7152", ,"7152", ,"7152"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , ,"2789", ,"2789", ,"2789", ,"2789"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , ,"2666", ,"2666", ,"2666", ,"2666"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","438334","113355","18861", ,"8466","579016", ,"579016", ,"579016"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","311984","80681","21025", ,"9262","422952", ,"422952", ,"422952"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(02300)","2300COUNSELING-OTHER"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","515546","133322","99849", ,"11737","760454", ,"760454", ,"760454"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER-CONT HOME CA"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(02500)","2500OTHER VISITING SERVICES"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03000)","3000DRUGS BIOLOGICAL AND INFUSION", , , ,"381608", ,"381608", ,"381608", ,"381608"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03030)","3030ANALGESICS", , , ,"145524", ,"145524", ,"145524", ,"145524"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , ,"2117", ,"2117", ,"2117", ,"2117"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03032)","3032OTHER - SPECIFY"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"559771", ,"559771", ,"559771", ,"559771"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"58839", ,"58839", ,"58839", ,"58839"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03300)","3300IMAGING SERVICES", , , ,"28061", ,"28061", ,"28061", ,"28061"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"3054", ,"3054", ,"3054", ,"3054"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENT", , , ,"321801", ,"321801", ,"321801", ,"321801"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INC E/R DEP", , , ,"112292", ,"112292", ,"112292", ,"112292"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03700)","3700RADIATION THERAPY", , , ,"42673", ,"42673", ,"42673", ,"42673"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03800)","3800CHEMOTHERAPY", , , ,"16061", ,"16061", ,"16061", ,"16061"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","247253","63941","5021", ,"25039","341254", ,"341254", ,"341254"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(05200)","5200FUNDRAISING","103635","26801","54", ,"120072","250562", ,"250562", ,"250562"
"HOSPC","hospc_2013_DATA",34111,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","272830","70555", ,"4013274","114651","4471310","1589","4472899","-4013274","459625"
"Entity[34111] Report(A100000)", , , , , ,"Entity[34111] Report(A100000[0100])","Entity[34111] Report(A100000[0200])","Entity[34111] Report(A100000[0300])","Entity[34111] Report(A100000[0400])","Entity[34111] Report(A100000[0500])","Entity[34111] Report(A100000[0600])","Entity[34111] Report(A100000[0700])","Entity[34111] Report(A100000[0800])","Entity[34111] Report(A100000[0900])"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(00500)", , , , ,"46396", , , ,"36015","82411"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(00600)", ,"291267","429429", ,"400929", , , ,"920883","2042508"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(01500)", , ,"310414", , , , , , ,"310414"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(01600)", , , , , ,"1804399", , , ,"1804399"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(02000)", , , ,"416710","21624", , , , ,"438334"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(02100)", , , , ,"250", , , ,"311734","311984"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(02400)", , , , , , , ,"515546", ,"515546"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(05000)", , ,"39130", , , ,"206825", ,"1298","247253"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(05200)", , ,"976", , , , , ,"102659","103635"
"HOSPC","hospc_2013_DATA",34111,"A100000","Line(05300)", , ,"116020", , , , , ,"156810","272830"
"Entity[34111] Report(A200000)", , , , , ,"Entity[34111] Report(A200000[0100])","Entity[34111] Report(A200000[0200])","Entity[34111] Report(A200000[0300])","Entity[34111] Report(A200000[0400])","Entity[34111] Report(A200000[0500])","Entity[34111] Report(A200000[0600])","Entity[34111] Report(A200000[0700])","Entity[34111] Report(A200000[0800])","Entity[34111] Report(A200000[0900])"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(00500)", , , , ,"11998", , , ,"9314","21312"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(00600)", ,"75322","111052", ,"103682", , , ,"238143","528199"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(01500)", , ,"80274", , , , , , ,"80274"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(01600)", , , , , ,"466623", , , ,"466623"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(02000)", , , ,"107763","5592", , , , ,"113355"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(02100)", , , , ,"65", , , ,"80616","80681"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(02400)", , , , , , , ,"133322", ,"133322"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(05000)", , ,"10119", , , ,"53486", ,"336","63941"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(05200)", , ,"253", , , , , ,"26548","26801"
"HOSPC","hospc_2013_DATA",34111,"A200000","Line(05300)", , ,"30003", , , , , ,"40552","70555"
"Entity[34111] Report(A300000)", , , , , , ,"Entity[34111] Report(A300000[0200])", , ,"Entity[34111] Report(A300000[0500])","Entity[34111] Report(A300000[0600])", ,"Entity[34111] Report(A300000[0800])","Entity[34111] Report(A300000[0900])"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(01000)", , , , , , , , ,"173175","173175"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(01100)", , , , , , , , ,"16939","16939"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(01500)", , ,"127560", , , , , ,"29884","157444"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(01600)", , , , , ,"422", , , ,"422"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(01700)", , , , , , ,"7152", , ,"7152"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(01800)", , , , , , ,"2789", , ,"2789"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(01900)", , , , , , ,"2666", , ,"2666"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03000)", , , , , , , , ,"381608","381608"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03030)", , , , , , , , ,"145524","145524"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03031)", , , , , , , , ,"2117","2117"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03100)", , , , , , , , ,"559771","559771"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03200)", , , , , , , , ,"58839","58839"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03300)", , , , , , , , ,"28061","28061"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03400)", , , , , , , , ,"3054","3054"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03500)", , , , , , , , ,"321801","321801"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03600)", , , , , , , , ,"112292","112292"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03700)", , , , , , , , ,"42673","42673"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(03800)", , , , , , , , ,"16061","16061"
"HOSPC","hospc_2013_DATA",34111,"A300000","Line(05300)", , , , , , , , ,"4013274","4013274"
"Entity[34111] Report(A600010)", , , , ,"Entity[34111] Report(A600010[0000])","Entity[34111] Report(A600010[0100])","Entity[34111] Report(A600010[0200])","Entity[34111] Report(A600010[0300])", ,"Entity[34111] Report(A600010[0500])","Entity[34111] Report(A600010[0600])","Entity[34111] Report(A600010[0700])", ,"Entity[34111] Report(A600010[0900])"
"HOSPC","hospc_2013_DATA",34111,"A600010","Line(00100)","LOBBYING DUES TO OTHER PROGRAM COST","A","OTHER NONREIMBURSABLE COSTS","53", ,"1589","ADMINISTRATIVE & GENERAL","6", ,"1589"
"Entity[34111] Report(A700000)", , , , , ,"Entity[34111] Report(A700000[0100])","Entity[34111] Report(A700000[0200])", ,"Entity[34111] Report(A700000[0400])","Entity[34111] Report(A700000[0500])","Entity[34111] Report(A700000[0600])"
"HOSPC","hospc_2013_DATA",34111,"A700000","Line(00100)", ,"424984", , , , ,"424984"
"HOSPC","hospc_2013_DATA",34111,"A700000","Line(00300)", ,"1375794", , , , ,"1375794"
"HOSPC","hospc_2013_DATA",34111,"A700000","Line(00400)", ,"626192","121887", ,"121887", ,"748079"
"HOSPC","hospc_2013_DATA",34111,"A700000","Line(00600)", ,"909284","21161", ,"21161","348635","581810"
"HOSPC","hospc_2013_DATA",34111,"A700000","Line(00700)", ,"3336254","143048", ,"143048","348635","3130667"
"Entity[34111] Report(A800000)", , , , ,"Entity[34111] Report(A800000[0000])","Entity[34111] Report(A800000[0100])","Entity[34111] Report(A800000[0200])","Entity[34111] Report(A800000[0300])","Entity[34111] Report(A800000[0400])"
"HOSPC","hospc_2013_DATA",34111,"A800000","Line(00600)", ,"A","-45191","ADMINISTRATIVE & GENERAL","6"
