"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34964","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34964] Report(D000000[0100])", , ,"Entity[34964] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",34964,"D000000","Line(00100)", , , , ,"602590", , , , , , , , , , , 
"hospc_2013_DATA",34964,"D000000","Line(00200)", , , , ,"6816", , , , , , , , , , , 
"hospc_2013_DATA",34964,"D000000","Line(00300)", , , , ,"88", , , , , , , , , , , 
"hospc_2013_DATA",34964,"D000000","Line(00400)", ,"6816", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
