"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35655","G000000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","Assets","General","Purpose","Endowment","Plant", , 
"-------------","-------------","-------------", ,"","(Omit cents)","Fund","Fund","Fund","Fund", , 
"-------------","-------------","-------------", ,"","","1","2","3","4", , 
"-------------","-------------","-------------", ,"","CURRENT  ASSETS","","","","", , 
 , , , , , , , , , , , 
"Entity[35655] Report(G000000)", , , , , ,"Entity[35655] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(00100)", ,"5747201"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(00400)", ,"23268003"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(00500)", ,"278447"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(00600)", ,"1518366"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(00700)", ,"309905"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(00800)", ,"552406"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(01100)", ,"28637596"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(01700)", ,"285098"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(01800)", ,"160962"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(02300)", ,"7551571"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(02400)", ,"3914186"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(02500)", ,"56158"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(02700)", ,"3817679"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(03100)", ,"165465867"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(03200)", ,"165465867"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(03300)", ,"197921142"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(03400)", ,"9149173"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(03500)", ,"5268764"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(03600)", ,"219590"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(03700)", ,"800000"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(04100)", ,"10834906"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(04200)", ,"26272433"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(04400)", ,"78600000"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(04700)", ,"22466413"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(04900)", ,"101066413"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(05000)", ,"127338846"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(05100)", ,"72675236"
"HOSPC","hospc_2013_DATA",35655,"G000000","Line(05800)", ,"72675236"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35655","G100000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","","","GENERAL ","SPECIFIC ","ENDOWMENT","PLANT  FUND", 
"-------------","-------------","-------------", ,"","","","FUND","PURPOSE  FUND","FUND","", 
"-------------","-------------","-------------", ,"","","","1","2","3","4", 
 , , , , , , , , , , , 
"Entity[35655] Report(G100000)", , , , , ,"Entity[35655] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",35655,"G100000","Line(00100)", ,"72675236"
"HOSPC","hospc_2013_DATA",35655,"G100000","Line(00300)", ,"72675236"
"HOSPC","hospc_2013_DATA",35655,"G100000","Line(01100)", ,"72675236"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35655","G200002 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"","PART II - OPERATING EXPENSES", , , , , , 
 , , , , , , , , , , , 
"Entity[35655] Report(G200002)", , , , , , ,"Entity[35655] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",35655,"G200002","Line(01500)", , ,"2096252"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
