"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34710","B000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[34710] Report(B000000[0000])","Entity[34710] Report(B000000[0100])","Entity[34710] Report(B000000[0200])","Entity[34710] Report(B000000[0300])", ,"Entity[34710] Report(B000000[0500])","Entity[34710] Report(B000000[0600])","Entity[34710] Report(B000000[0700])", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(00100)","144193","144193", , , , , , , , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(00200)","18170", ,"18170", , , , , , , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(00300)","37596", , ,"37596", , , , , , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(00500)","78772", , , , ,"78772", , , , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(00600)","3953762","144193","18170","37596", ,"78772","4232493", , , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(01000)","507639", , , , , ,"315354","822993", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(01500)","259333", , , , , ,"161102","420435", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(01600)","2308546", , , , , ,"1434107","3742653", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(01620)","946279", , , , , ,"587845","1534124", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(01700)","990", , , , , ,"615","1605", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(01900)","540", , , , , ,"335","875", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(02000)","419463", , , , , ,"260578","680041", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(02100)","250970", , , , , ,"155907","406877", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(02200)","284225", , , , , ,"176565","460790", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(02400)","704896", , , , , ,"437893","1142789", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(02420)","11813", , , , , ,"7338","19151", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(03000)","616714", , , , , ,"383113","999827", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(03100)","330312", , , , , ,"205195","535507", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(03200)","18061", , , , , ,"11220","29281", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(03300)","212", , , , , ,"132","344", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(03400)","1815", , , , , ,"1128","2943", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(03500)","145935", , , , , ,"90657","236592", , , , , , , , 
"hospc_2013_DATA",34710,"B000000","Line(05100)","5488", , , , , ,"3409","8897", , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34710","B10000* ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34710] Report(B10000*[0100])","Entity[34710] Report(B10000*[0200])","Entity[34710] Report(B10000*[0300])","Entity[34710] Report(B10000*[0400])","Entity[34710] Report(B10000*[0500])","Entity[34710] Report(B10000*[0600])", , , , , , , , , 
"hospc_2013_DATA",34710,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-", , , , , , , , , 
"hospc_2013_DATA",34710,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &", , , , , , , , , 
"hospc_2013_DATA",34710,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL", , , , , , , , , 
"hospc_2013_DATA",34710,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM.", , , , , , , , , 
"hospc_2013_DATA",34710,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
